material,scenario,destination state,origin state,SCTG code,domestic mode,domestic mode efficiency,domestic distance (km),return trip factor,GWP(kg CO2 eq),GWP_fossil(kg CO2 eq),GWP_biogenic(kg CO2 eq),GWP_luluc(kg CO2 eq),AP(kg SO2 eq),EP(kg N eq),ODP(kg CFC-11 eq),POCP(kg O3 eq),CO2(kg),CH4(kg),CH4 fossil(kg),N2O(kg)
Piping,Local,Colorado,,33,Rail,High,8.454399466666667,1.5,1.5387965589144865,0.0,0.0,0.0,0.0106230205650624,0.0013488656173087999,3.3352605896000005e-09,0.36932855959745203,1.5325481067198607,0.00018134686856,0.0,4.3371069264e-06
Piping,Local,Colorado,,33,Air,Low,2158.12494,1.0,1440.4747816501717,0.0,0.0,0.0,3.50118867578526,1.1752997354494201,4.532062374000001e-06,109.29642044510054,1433.4463643630752,0.21192786910800002,0.0,0.0040141123884
Piping,Local,Colorado,,33,Air,Median,2158.12494,1.0,1800.5934765231834,0.0,0.0,0.0,4.37648530520034,1.4691241297805402,5.654287342800001e-06,136.62052447731318,1791.8079570724376,0.26494868263392,0.0,0.005028431110200001
Piping,Local,Colorado,,33,Air,High,2158.12494,1.0,2160.712171396195,0.0,0.0,0.0,5.25178409274036,1.7629506822366001,6.798093561000001e-06,163.9446306676508,2150.1695476236755,0.31793712428574006,0.0,0.006042749832
Piping,Local,Colorado,,33,Barge,Low,8.454399466666667,1.5,1.1886017552396095,0.0,0.0,0.0,0.0098384734305544,0.0011451484077600002,2.5743646376e-09,0.3423354079338752,1.1835642435893936,0.00015091103047999997,0.0,3.0435838079999997e-06
Piping,Local,Colorado,,33,Barge,Median,8.454399466666667,1.5,1.3444111802266017,0.0,0.0,0.0,0.011797729780557601,0.0013365644660848,2.9040862168000003e-09,0.41138747647382723,1.3363570331666856,0.00025490014392,0.0,3.4367133831999997e-06
Piping,Local,Colorado,,33,Barge,High,8.454399466666667,1.5,1.5387965589144865,0.0,0.0,0.0,0.0106230205650624,0.0013488656173087999,3.3352605896000005e-09,0.36932855959745203,1.5325481067198607,0.00018134686856,0.0,4.3371069264e-06
Piping,National,Illinois,,33,Truck,Low,1281.836636677741,1.0,120.14204614553664,0.0,0.0,0.0,0.9944578355910482,0.115749848292,2.602128372455814e-07,34.6027390553126,119.63286217834914,0.015253855976465116,0.0,0.0003076407928026578
Piping,National,Illinois,,33,Truck,Median,1281.836636677741,1.0,135.89102434128492,0.0,0.0,0.0,1.1924964686112123,0.13509789048601384,2.935405897992027e-07,41.582416452221096,135.07692348414767,0.025764916397222594,0.0,0.0003473777285396678
Piping,National,Illinois,,33,Truck,High,1281.836636677741,1.0,155.539200892757,0.0,0.0,0.0,1.0737586591191166,0.13634127202359123,3.371230354462459e-07,37.331165509743634,154.9076169088064,0.018330263904491696,0.0,0.0004383881297437874
Piping,National,Illinois,,33,Rail,Low,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Piping,National,Illinois,,33,Rail,Median,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Piping,National,Illinois,,33,Rail,High,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Piping,National,Illinois,,33,Air,Low,3524.4546,1.0,2352.4532228291396,0.0,0.0,0.0,5.717824906763401,1.9193933039778,7.401354660000001e-06,178.4930356262268,2340.9750469464093,0.34610144172,0.0,0.006555485556
Piping,National,Illinois,,33,Air,Median,3524.4546,1.0,2940.5665276553104,0.0,0.0,0.0,7.147280252340599,2.3992407488586,9.234071052e-06,223.11629277055619,2926.2188113263524,0.43269024233279996,0.0,0.008211979218000001
Piping,National,Illinois,,33,Air,High,3524.4546,1.0,3528.6798324814813,0.0,0.0,0.0,8.5767391223724,2.879091718194,1.110203199e-05,267.7395534393402,3511.462572181841,0.5192261761266,0.0,0.00986847288
Piping,National,Illinois,,33,Barge,Low,1281.836636677741,1.0,120.14204614553664,0.0,0.0,0.0,0.9944578355910482,0.115749848292,2.602128372455814e-07,34.6027390553126,119.63286217834914,0.015253855976465116,0.0,0.0003076407928026578
Piping,National,Illinois,,33,Barge,Median,1281.836636677741,1.0,135.89102434128492,0.0,0.0,0.0,1.1924964686112123,0.13509789048601384,2.935405897992027e-07,41.582416452221096,135.07692348414767,0.025764916397222594,0.0,0.0003473777285396678
Piping,National,Illinois,,33,Barge,High,1281.836636677741,1.0,155.539200892757,0.0,0.0,0.0,1.0737586591191166,0.13634127202359123,3.371230354462459e-07,37.331165509743634,154.9076169088064,0.018330263904491696,0.0,0.0004383881297437874
Piping,Regional,Illinois,,33,Truck,Low,102.00739692307693,1.5,14.341192595433009,0.0,0.0,0.0,0.11870707887705231,0.01381690191323077,3.1061252363076924e-08,4.13048188409088,14.28041199801338,0.0018208320350769232,0.0,3.672266289230769e-05
Piping,Regional,Illinois,,33,Truck,Median,102.00739692307693,1.5,16.221126696213197,0.0,0.0,0.0,0.14234668106959386,0.016126451386966154,3.503954084307692e-08,4.963636479125834,16.123948584478946,0.00307552301723077,0.0,4.146600684923076e-05
Piping,Regional,Illinois,,33,Truck,High,102.00739692307693,1.5,18.566502799866313,0.0,0.0,0.0,0.12817311029302153,0.01627487214948923,4.024191808615385e-08,4.4561704379388,18.491111478970595,0.002188058664,0.0,5.232979462153847e-05
Piping,Regional,Illinois,,33,Rail,Low,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Piping,Regional,Illinois,,33,Rail,Median,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Piping,Regional,Illinois,,33,Rail,High,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Piping,Regional,Illinois,,33,Air,Low,1667.2762400000001,1.0,1112.8500177401775,0.0,0.0,0.0,2.7048705951629604,0.9079869693703201,3.5012801040000005e-06,84.43780132820594,1107.4201591947399,0.163726526768,0.0,0.0031011338064000004
Piping,Regional,Illinois,,33,Air,Median,1667.2762400000001,1.0,1391.0625217584027,0.0,0.0,0.0,3.38108782713464,1.13498329489384,4.3682637488e-06,105.54725082661928,1384.2752002438817,0.20468816943232,0.0,0.0038847536392000006
Piping,Regional,Illinois,,33,Air,High,1667.2762400000001,1.0,1669.275025776628,0.0,0.0,0.0,4.05730672638256,1.3619812876936002,5.251920156e-06,126.6567019923089,1661.1302396257477,0.24562480295304004,0.0,0.004668373472
Piping,Regional,Illinois,,33,Barge,Low,102.00739692307693,1.5,14.341192595433009,0.0,0.0,0.0,0.11870707887705231,0.01381690191323077,3.1061252363076924e-08,4.13048188409088,14.28041199801338,0.0018208320350769232,0.0,3.672266289230769e-05
Piping,Regional,Illinois,,33,Barge,Median,102.00739692307693,1.5,16.221126696213197,0.0,0.0,0.0,0.14234668106959386,0.016126451386966154,3.503954084307692e-08,4.963636479125834,16.123948584478946,0.00307552301723077,0.0,4.146600684923076e-05
Piping,Regional,Illinois,,33,Barge,High,102.00739692307693,1.5,18.566502799866313,0.0,0.0,0.0,0.12817311029302153,0.01627487214948923,4.024191808615385e-08,4.4561704379388,18.491111478970595,0.002188058664,0.0,5.232979462153847e-05
Piping,Regional_c,Illinois,,33,Truck,Low,404.69000086666665,1.5,56.895258764924435,0.0,0.0,0.0,0.47094200325354907,0.05481526061739,1.232281052639e-07,16.38670104005305,56.654126251358036,0.00722371651547,0.0,0.00014568840031199998
Piping,Regional_c,Illinois,,33,Truck,Median,404.69000086666665,1.5,64.35344861999658,0.0,0.0,0.0,0.5647264828143939,0.0639778469270122,1.390110152977e-07,19.69204304423163,63.96791765549593,0.01220140352613,0.0,0.0001645064853523
Piping,Regional_c,Illinois,,33,Truck,High,404.69000086666665,1.5,73.65816853296316,0.0,0.0,0.0,0.5084962236089736,0.0645666708782732,1.596502053419e-07,17.67879264433514,73.35907146119263,0.008680600518590001,0.0,0.00020760597044460003
Piping,Regional_c,Illinois,,33,Rail,Low,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Piping,Regional_c,Illinois,,33,Rail,Median,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
