city,Zip Code,spatial resolution,year,cambium_scenario,qty,unit,GWP(kg CO2 eq),GWP_fossil(kg CO2 eq),GWP_biogenic(kg CO2 eq),GWP_luluc(kg CO2 eq),AP(kg SO2 eq),EP(kg N eq),ODP(kg CFC-11 eq),POCP(kg O3 eq),CO2(kg),CH4(kg),N2O(kg)
Portland,97240,Local,2030,MidCase,1,MWh,59.464672603126246,0.0,0.0,0.0,0.08629805352434508,0.015650191707059693,3.745247968450715e-07,2.346579632041582,53.64052098460845,0.04923727217111391,0.00020491838186354548
Portland,97240,Local,2030,LowRECost,1,MWh,43.46486743849555,0.0,0.0,0.0,0.07323281779555274,0.015361540910224583,3.892919779110278e-07,1.8494950082697417,39.53115337905715,0.051248397815799936,0.000213259012302818
Portland,97240,Local,2030,HighRECost,1,MWh,65.92489020530094,0.0,0.0,0.0,0.09135280513345503,0.015863892810030318,3.6731379951485054e-07,2.5447847514588924,59.3369846707737,0.04824816202349406,0.00020177857359570322
Portland,97240,Local,2030,HighDemandGrowth,1,MWh,55.942515790852035,0.0,0.0,0.0,0.08531042646313064,0.017521256003154708,3.583657898608135e-07,2.2323964959968237,50.543413471962225,0.04939183983980553,0.00020011608814030435
Portland,97240,Local,2030,LowNGPrice,1,MWh,63.775566206817146,0.0,0.0,0.0,0.08993841878049494,0.015792481728028898,3.705281766320242e-07,2.4815460398514664,57.44357476750123,0.04871369377281726,0.0002027188906777007
Portland,97240,Local,2030,HighNGPrice,1,MWh,36.60558849481049,0.0,0.0,0.0,0.06907186095284203,0.016598963457402298,3.8027502039770897e-07,1.6410318673715696,33.49647146719322,0.0528632911297605,0.00021224481589163612
Portland,97240,Local,2030,Decarb95by2050,1,MWh,59.518181716831,0.0,0.0,0.0,0.08667834170526334,0.01567937097202461,3.754890603745879e-07,2.359005304431723,53.69871022828822,0.05005484744153635,0.00020597201939161135
Portland,97240,Local,2030,Decarb100by2035,1,MWh,63.364797728394805,0.0,0.0,0.0,0.09037583796526942,0.01584200244650666,3.7325290477042457e-07,2.493867256251664,57.106901458016154,0.05069921457035287,0.00020544383204462222
Portland,97240,Local,2035,MidCase,1,MWh,43.44430588952498,0.0,0.0,0.0,0.06906009405574397,0.01517829297607998,2.837073365729547e-07,1.7056865732242925,39.341324286246675,0.051871000745482024,0.00015822871787483873
Portland,97240,Local,2035,LowRECost,1,MWh,32.823669976038815,0.0,0.0,0.0,0.06269767207641382,0.015345143338921508,3.24453096435894e-07,1.4316079394677237,30.040326737614052,0.053919822407844153,0.00017980385821057053
Portland,97240,Local,2035,HighRECost,1,MWh,54.36803002742318,0.0,0.0,0.0,0.07900502304806091,0.015594750139183636,3.0201179792241866e-07,2.087258700649439,49.02785245167789,0.0504808545030059,0.0001689405810245763
Portland,97240,Local,2035,HighDemandGrowth,1,MWh,47.34785723937654,0.0,0.0,0.0,0.07553167663410149,0.01731175742662778,2.934211669530725e-07,1.8644101640051045,42.843854056690404,0.05061054889169346,0.0001662673287348111
Portland,97240,Local,2035,LowNGPrice,1,MWh,54.791416337003,0.0,0.0,0.0,0.0799416780676774,0.015585290677371808,3.042920006558713e-07,2.1039072682159867,49.402420599209265,0.05040599181942027,0.0001684296511445076
Portland,97240,Local,2035,HighNGPrice,1,MWh,30.846967939809872,0.0,0.0,0.0,0.061848791989864885,0.016611580830759802,3.1185021397329333e-07,1.359787937579783,28.297428365741926,0.05349956235844859,0.00017633016318914258
Portland,97240,Local,2035,Decarb95by2050,1,MWh,41.69701696234509,0.0,0.0,0.0,0.06957562982345354,0.015327502009159775,3.1696693132142634e-07,1.710176684104768,37.86794819083688,0.0532054617916976,0.00017630381811667274
Portland,97240,Local,2035,Decarb100by2035,1,MWh,26.4307315987612,0.0,0.0,0.0,0.05732173038680108,0.015088797711645612,3.344249275183993e-07,1.2406499777976854,24.4111815331372,0.05508418170921715,0.0001859287714349886
Portland,97240,Local,2040,MidCase,1,MWh,40.21612639000159,0.0,0.0,0.0,0.06816093332612053,0.016111865778611845,2.812936910905959e-07,1.6271954950724279,36.523512611150224,0.053767417835583683,0.00015962409434066546
Portland,97240,Local,2040,LowRECost,1,MWh,33.61138069525151,0.0,0.0,0.0,0.06480044325059828,0.016512652260334118,3.150122077218184e-07,1.4546450298214335,30.744284261593968,0.053453413038911865,0.00017644383447995113
Portland,97240,Local,2040,HighRECost,1,MWh,41.80558086463563,0.0,0.0,0.0,0.07151915791740965,0.01696969621288794,3.0316712025150294e-07,1.733518230111439,38.00073265325068,0.05486437732512468,0.00017512676446090815
Portland,97240,Local,2040,HighDemandGrowth,1,MWh,41.82737142087737,0.0,0.0,0.0,0.07298477603213999,0.01871879666527281,2.861631318639387e-07,1.7043051312547264,37.99767837778774,0.05211090473576213,0.00016584728266000535
Portland,97240,Local,2040,LowNGPrice,1,MWh,55.02940069652303,0.0,0.0,0.0,0.08212391085501351,0.01657423727149066,2.9948948636568835e-07,2.140490003123298,49.65137402979316,0.05249655330247815,0.0001691832002771267
Portland,97240,Local,2040,HighNGPrice,1,MWh,31.758058269952414,0.0,0.0,0.0,0.06505287399583803,0.0183430261339115,3.008977217970556e-07,1.4063927183660536,29.135096533349472,0.054332641475243096,0.00017447825329143084
Portland,97240,Local,2040,Decarb95by2050,1,MWh,42.95210292933416,0.0,0.0,0.0,0.07203704811346537,0.01631137391721381,3.103131146963673e-07,1.7593144485389904,38.99476280387539,0.05356346681333081,0.0001749727250090557
Portland,97240,Local,2040,Decarb100by2035,1,MWh,26.86740683314092,0.0,0.0,0.0,0.06231654777206024,0.016911804215770466,3.298219678648185e-07,1.3453694239961589,24.903985717964886,0.06179110500919018,0.00019117293092452858
Portland,97240,Local,2045,MidCase,1,MWh,38.12132735133046,0.0,0.0,0.0,0.06934870016979118,0.018250956931060634,2.707925154256186e-07,1.5799986277725355,34.71086019804235,0.054629054739010904,0.00015832924290780479
Portland,97240,Local,2045,LowRECost,1,MWh,34.55229593536648,0.0,0.0,0.0,0.0683324479743177,0.018813118821334164,2.968653194848333e-07,1.4892396756227813,31.595570449077954,0.05327133245486827,0.00017049431112320889
Portland,97240,Local,2045,HighRECost,1,MWh,39.220510420184674,0.0,0.0,0.0,0.07210781499412283,0.01880404088715188,2.942894380978263e-07,1.6715419672075633,35.75321939442623,0.056035816747119646,0.0001740112403897737
Portland,97240,Local,2045,HighDemandGrowth,1,MWh,42.90553646453549,0.0,0.0,0.0,0.07628445687755463,0.020588554339558366,2.731204520570984e-07,1.7515283656011498,38.976051642137314,0.05253830172846617,0.0001625309757606507
Portland,97240,Local,2045,LowNGPrice,1,MWh,50.4921061482175,0.0,0.0,0.0,0.0811465392984136,0.018567507842796743,2.901896857767833e-07,2.0156822380620705,45.682051619413286,0.05376767651497252,0.00016856099135833193
Portland,97240,Local,2045,HighNGPrice,1,MWh,28.566184158311202,0.0,0.0,0.0,0.06490057149271136,0.020213772730499287,2.9019355575009046e-07,1.3204284393342864,26.348009844265622,0.055362359391596186,0.00017285903320294184
Portland,97240,Local,2045,Decarb95by2050,1,MWh,34.110597037225546,0.0,0.0,0.0,0.06715170162073175,0.018155269619590516,3.012950529662308e-07,1.4916140481491564,31.219529474977307,0.05509776578813183,0.00017457624174935726
Portland,97240,Local,2045,Decarb100by2035,1,MWh,27.3652234817767,0.0,0.0,0.0,0.06540677853301645,0.018970750404218185,3.130695358699069e-07,1.378165528932361,25.374989181335465,0.06292600259631265,0.000186855042926878
Portland,97240,Local,2050,MidCase,1,MWh,41.463067718095594,0.0,0.0,0.0,0.07061954083452397,0.016969044448796145,2.7630073633417406e-07,1.6833603485848039,37.6467620776219,0.05469072026714116,0.00015897036834995552
Portland,97240,Local,2050,LowRECost,1,MWh,35.126745043913104,0.0,0.0,0.0,0.06951328433715723,0.019090908912753668,2.945063802141939e-07,1.514533803795976,32.11021601422952,0.05378419181748002,0.0001693893548145477
Portland,97240,Local,2050,HighRECost,1,MWh,39.72506508289065,0.0,0.0,0.0,0.07146461172447645,0.017545449535320407,3.043529440693003e-07,1.6960595530960192,36.19729763759976,0.05696971221458377,0.00017742410324761104
Portland,97240,Local,2050,HighDemandGrowth,1,MWh,42.03666869848209,0.0,0.0,0.0,0.07609612482483158,0.021190889422779732,2.66747203330469e-07,1.7232591259626515,38.21312704965009,0.0527065821742102,0.0001607358370894304
Portland,97240,Local,2050,LowNGPrice,1,MWh,44.35089413161687,0.0,0.0,0.0,0.07414597880564347,0.017073024526811253,3.023693987271152e-07,1.808034841538794,40.23884232867397,0.0538369817897875,0.00017235381608392478
Portland,97240,Local,2050,HighNGPrice,1,MWh,26.431845237330947,0.0,0.0,0.0,0.06384810233100256,0.020861647125181463,2.857893534328648e-07,1.2538173825093404,24.47064042367942,0.05559135963590289,0.0001719880712875561
Portland,97240,Local,2050,Decarb95by2050,1,MWh,25.973187707742746,0.0,0.0,0.0,0.06019389979669322,0.018672034166481718,2.9710430742385776e-07,1.2071575748279773,24.016865985519036,0.05392009882670289,0.00017301180897637416
Portland,97240,Local,2050,Decarb100by2035,1,MWh,25.318234906222163,0.0,0.0,0.0,0.05988125585135284,0.017223991237489585,3.144401704133676e-07,1.2480070564568546,23.489390917390757,0.05921597250755234,0.00018261278858077896
Los Angeles,90086,Local,2025,MidCase,1,MWh,198.25932680129083,0.0,0.0,0.0,0.33548153062284575,0.024276425212469248,2.210401016857736e-06,8.89337860425013,180.77278904001992,0.1699461833632697,0.0012617172322060039
Los Angeles,90086,Local,2025,LowRECost,1,MWh,198.0048748629905,0.0,0.0,0.0,0.33555455153862934,0.024264629765426555,2.2190318507040195e-06,8.897589549467359,180.55751407686103,0.16932626453815394,0.0012652333207535424
Los Angeles,90086,Local,2025,HighRECost,1,MWh,200.62781892430002,0.0,0.0,0.0,0.3385069166573297,0.02447481982210708,2.2340390982386594e-06,8.998077626025065,182.91701691723495,0.16987543639490668,0.0012755075796794502
Los Angeles,90086,Local,2025,HighDemandGrowth,1,MWh,197.60899392483344,0.0,0.0,0.0,0.3352488276249907,0.024249141405821288,2.2290341281136217e-06,8.879456360506696,180.2247060765832,0.16785812575941877,0.0012694715096578154
Los Angeles,90086,Local,2025,LowNGPrice,1,MWh,202.94605303814205,0.0,0.0,0.0,0.33768094136177773,0.02439948274669429,2.187125299315766e-06,9.014032975580525,184.84413366503816,0.1654748121423171,0.0012458798787934745
Los Angeles,90086,Local,2025,HighNGPrice,1,MWh,193.20219184693525,0.0,0.0,0.0,0.3338570981738659,0.024167654760377244,2.265586540638298e-06,8.784519994168857,176.42459060242692,0.1716853099609907,0.0012918851421833022
Los Angeles,90086,Local,2025,Decarb95by2050,1,MWh,200.91479153039074,0.0,0.0,0.0,0.34941088426918676,0.024997630862946478,2.2282192161652806e-06,9.227731572560353,183.2630317815137,0.19102516642096476,0.0012915426546511784
Los Angeles,90086,Local,2025,Decarb100by2035,1,MWh,202.74112017427888,0.0,0.0,0.0,0.35481959137945696,0.02527494169468583,2.23344600192276e-06,9.365020419794376,184.93397142351768,0.19772053839844328,0.0013019051062379671
Los Angeles,90086,Local,2030,MidCase,1,MWh,160.23352187238044,0.0,0.0,0.0,0.3052943503849772,0.019576395040200707,1.8443303371571398e-06,6.84107641585878,145.13302413580715,0.23477138347006168,0.0010480023147773634
Los Angeles,90086,Local,2030,LowRECost,1,MWh,154.16701408431754,0.0,0.0,0.0,0.2977710839856488,0.019739540064584636,1.9313779774756593e-06,6.823731197881219,140.27946272981566,0.21798720399433283,0.0010969466592532344
Los Angeles,90086,Local,2030,HighRECost,1,MWh,168.58112151939895,0.0,0.0,0.0,0.31696571086758607,0.019941774967155077,1.8401245686475448e-06,7.049427078505685,152.32403849473042,0.24875335602475912,0.0010499531564892868
Los Angeles,90086,Local,2030,HighDemandGrowth,1,MWh,171.01307193551588,0.0,0.0,0.0,0.31603279210438795,0.020794193987572984,1.9232862864997815e-06,7.369251387768575,155.06927854334162,0.2249695084334367,0.0010943339010498986
Los Angeles,90086,Local,2030,LowNGPrice,1,MWh,168.5587925049664,0.0,0.0,0.0,0.309046684736065,0.020512276567656095,1.8988678336051415e-06,7.2756983721999795,152.93621954355248,0.21495483802964813,0.001079508343815158
Los Angeles,90086,Local,2030,HighNGPrice,1,MWh,142.78686177633233,0.0,0.0,0.0,0.2997507450228045,0.018618243484102303,1.8944851488109472e-06,6.247079896306277,129.56163743579867,0.2614521894072281,0.001078652958689303
Los Angeles,90086,Local,2030,Decarb95by2050,1,MWh,160.67500515999865,0.0,0.0,0.0,0.30425110037697,0.019812327396906037,1.8618583819772382e-06,6.947179946673035,145.72575625639743,0.2272896068223206,0.00106025960938093
Los Angeles,90086,Local,2030,Decarb100by2035,1,MWh,163.41135672752702,0.0,0.0,0.0,0.3077613872725695,0.020021895199686515,1.85276497179832e-06,7.066766478346329,148.14823268912022,0.22999500687853816,0.0010588989740148837
Los Angeles,90086,Local,2035,MidCase,1,MWh,139.96240309584783,0.0,0.0,0.0,0.28196135451053206,0.017201954543625275,1.543803466843014e-06,5.699244356149409,126.19316260644302,0.26284543838481433,0.0008856512743868704
Los Angeles,90086,Local,2035,LowRECost,1,MWh,125.26313052654871,0.0,0.0,0.0,0.2819826007594613,0.015432336219195557,1.4608488208408557e-06,4.880515737061343,112.2283035527507,0.31286680853243654,0.0008357389090507866
Los Angeles,90086,Local,2035,HighRECost,1,MWh,152.88970134674582,0.0,0.0,0.0,0.29881392276068275,0.018265727759024575,1.5959406287351164e-06,6.189957457910905,137.705835309877,0.2732517350363096,0.0009224204515530689
Los Angeles,90086,Local,2035,HighDemandGrowth,1,MWh,140.1647257329275,0.0,0.0,0.0,0.2794938588796165,0.01769675827658271,1.4483323246815283e-06,5.804804231645883,126.28629143022087,0.26178708807416684,0.0008309054496486583
Los Angeles,90086,Local,2035,LowNGPrice,1,MWh,146.5805797336736,0.0,0.0,0.0,0.2886077701958368,0.017601321874046262,1.5457004048840854e-06,5.940851843491354,132.05104706584433,0.26422075888156343,0.0008879335312569177
Los Angeles,90086,Local,2035,HighNGPrice,1,MWh,128.56039821048768,0.0,0.0,0.0,0.2771796758563044,0.016784259478593615,1.6129185509059593e-06,5.358949714667267,116.20761227543994,0.2698598032304982,0.0009225518453653438
Los Angeles,90086,Local,2035,Decarb95by2050,1,MWh,134.46874311151225,0.0,0.0,0.0,0.28144346268491244,0.017115022169987035,1.5993975347896156e-06,5.586515985702465,121.46881525112255,0.2666631189099807,0.0009169997268045797
Los Angeles,90086,Local,2035,Decarb100by2035,1,MWh,112.13540410398994,0.0,0.0,0.0,0.27086064693250217,0.016191974550772762,1.6951083880720702e-06,4.924600843005954,101.85518126327291,0.28227569054614704,0.0009718482778163084
