year,CO2_cumulative,N2O_cumulative,CH4_cumulative,CH4_fossil_cumulative,CO2_concentration in atm,CO2_instantaneous,N2O_concentration in atm,N2O_instantaneous,CH4_concentration in atm,CH4_instantaneous,CH4_fossil_concentration in atm,CH4_fossil_instantaneous
47.775,5.1239254308266584e-14,1.4087019972831108e-11,2.5567261725572633e-12,2.6661526412740736e-12,0.49213942436042124,8.642681089656223e-16,0.6737914005246284,2.4047161395726263e-13,0.021219757353894482,4.470105275256375e-15,0.021219757353894482,6.9878140410649065e-15
47.78333333333333,5.124645638429927e-14,1.4089023833943142e-11,2.556763410920265e-12,2.6662108598495266e-12,0.49211780376779807,8.642301400735234e-16,0.673744997756111,2.40455053121626e-13,0.02120550155506646,4.467102181465935e-15,0.02120550155506646,6.984713085692306e-15
47.791666666666664,5.125365814395436e-14,1.4091027557052967e-11,2.5568006242658923e-12,2.6662690525922673e-12,0.49209618725165544,8.641921783403148e-16,0.6736985981832664,2.404384934265035e-13,0.021191255333529852,4.464101105205674e-15,0.021191255333529852,6.9816141435962594e-15
47.8,5.126085958729151e-14,1.4093031142170084e-11,2.5568378126109523e-12,2.6663272195190657e-12,0.49207457481105565,8.641542237643497e-16,0.6736522018058746,2.4042193487181653e-13,0.021177018682850497,4.461102045120188e-15,0.021177018682850497,6.978517213437421e-15
47.80833333333333,5.1268060714370323e-14,1.4095034589304002e-11,2.5568749759722408e-12,2.6663853606466833e-12,0.49205296644506097,8.641162763439813e-16,0.6736058086237157,2.404053774574867e-13,0.021162791596598514,4.458104999854972e-15,0.021162791596598514,6.975422293877326e-15
47.81666666666666,5.127526152525045e-14,1.4097037898464213e-11,2.5569121143665426e-12,2.6664434759918696e-12,0.4920313621527342,8.640783360775638e-16,0.6735594186365693,2.4038882118343533e-13,0.021148574068348348,4.455109968056434e-15,0.021148574068348348,6.972329383578408e-15
47.825,5.1282462019991485e-14,1.4099041069660224e-11,2.556949227810631e-12,2.6665015655713625e-12,0.492009761933138,8.64040402963451e-16,0.6735130318442157,2.40372266049584e-13,0.021134366091678774,4.452116948371894e-15,0.021134366091678774,6.9692384812040036e-15
47.833333333333336,5.128966219865304e-14,1.4101044102901541e-11,2.5569863163212678e-12,2.666559629401889e-12,0.4919881657853356,8.64002476999998e-16,0.6734666482464348,2.403557120558541e-13,0.021120167660172887,4.44912593944958e-15,0.021120167660172887,6.9661495854183415e-15
47.84166666666667,5.129686206129468e-14,1.4103046998197659e-11,2.5570233799152036e-12,2.6666176675001647e-12,0.49196657370839036,8.639645581855597e-16,0.6734202678430066,2.403391592021672e-13,0.021105978767418068,4.446136939938625e-15,0.021105978767418068,6.963062694886536e-15
47.85,5.130406160797598e-14,1.4105049755558078e-11,2.557060418609178e-12,2.6666756798828944e-12,0.49194498570136624,8.639266465184923e-16,0.6733738906337109,2.4032260748844475e-13,0.021091799407006027,4.443149948489075e-15,0.021091799407006027,6.9599778082746085e-15
47.858333333333334,5.131126083875651e-14,1.4107052374992296e-11,2.557097432419919e-12,2.6667336665667717e-12,0.49192340176332683,8.638887419971514e-16,0.673327516618328,2.403060569146082e-13,0.021077629572532775,4.4401649637518775e-15,0.021077629572532775,6.956894924249466e-15
47.86666666666667,5.131845975369577e-14,1.4109054856509817e-11,2.5571344213641443e-12,2.66679162756848e-12,0.4919018218933366,8.6385084461989405e-16,0.6732811457966379,2.402895074805791e-13,0.021063469257598604,4.437181984378887e-15,0.021063469257598604,6.953814041478905e-15
47.875,5.1325658352853336e-14,1.4111057200120137e-11,2.5571713854585587e-12,2.66684956290469e-12,0.4918802460904598,8.638129543850771e-16,0.6732347781684205,2.402729591862789e-13,0.021049318455808146,4.4342010090228695e-15,0.021049318455808146,6.950735158631626e-15
47.88333333333333,5.1332856636288704e-14,1.4113059405832755e-11,2.5572083247198576e-12,2.666907472592062e-12,0.4918586743537614,8.637750712910581e-16,0.673188413733456,2.402564120316292e-13,0.021035177160770295,4.431222036337489e-15,0.021035177160770295,6.947658274377206e-15
47.891666666666666,5.134005460406136e-14,1.4115061473657163e-11,2.5572452391647235e-12,2.6669653566472457e-12,0.4918371066823064,8.637371953361956e-16,0.6731420524915244,2.4023986601655144e-13,0.021021045366098254,4.428245064977317e-15,0.021021045366098254,6.9445833873861235e-15
47.9,5.13472522562308e-14,1.4117063403602863e-11,2.5572821288098293e-12,2.667023215086879e-12,0.49181554307515996,8.636993265188474e-16,0.6730956944424058,2.4022332114096713e-13,0.0210069230654095,4.4252700935978276e-15,0.0210069230654095,6.941510496329742e-15
47.90833333333333,5.1354449592856496e-14,1.4119065195679342e-11,2.5573189936718353e-12,2.667081047927589e-12,0.4917939835313875,8.636614648373724e-16,0.6730493395858805,2.4020677740479786e-13,0.020992810252325834,4.422297120855403e-15,0.020992810252325834,6.9384395998803204e-15
47.916666666666664,5.1361646613997897e-14,1.4121066849896107e-11,2.5573558337673915e-12,2.6671388551859915e-12,0.49177242805005505,8.636236102901306e-16,0.6730029879217284,2.4019023480796513e-13,0.020978706920473312,4.419326145407322e-15,0.020978706920473312,6.935370696710998e-15
47.925,5.136884331971447e-14,1.4123068366262642e-11,2.557392649113136e-12,2.667196636878692e-12,0.49175087663022854,8.635857628754814e-16,0.6729566394497298,2.4017369335039047e-13,0.02096461306348226,4.416357165911765e-15,0.02096461306348226,6.932303785495803e-15
47.93333333333333,5.137603971006562e-14,1.4125069744788445e-11,2.5574294397256975e-12,2.667254393022285e-12,0.49172932927097435,8.635479225917853e-16,0.6729102941696649,2.401571530319954e-13,0.020950528674987333,4.413390181027822e-15,0.020950528674987333,6.929238864909667e-15
47.94166666666666,5.138323578511079e-14,1.4127070985483006e-11,2.5574662056216905e-12,2.667312123633352e-12,0.491707785971359,8.63510089437403e-16,0.6728639520813137,2.401406138527015e-13,0.020936453748627418,4.410425189415476e-15,0.020936453748627418,6.9261759336283855e-15
47.95,5.139043154490939e-14,1.4129072088355819e-11,2.5575029468177207e-12,2.6673698287284658e-12,0.4916862467304493,8.634722634106957e-16,0.6728176131844564,2.401240758124303e-13,0.02092238827804567,4.4074621897356105e-15,0.02092238827804567,6.9231149903286565e-15
47.958333333333336,5.139762698952079e-14,1.413107305341638e-11,2.557539663330382e-12,2.6674275083241873e-12,0.49166471154731245,8.634344445100253e-16,0.6727712774788733,2.401075389111034e-13,0.02090833225688957,4.404501180650015e-15,0.02090833225688957,6.920056033688063e-15
47.96666666666667,5.1404822119004354e-14,1.4133073880674168e-11,2.557576355176257e-12,2.667485162437066e-12,0.49164318042101585,8.633966327337538e-16,0.6727249449643448,2.400910031486423e-13,0.020894285678810815,4.4015421608213735e-15,0.020894285678810815,6.916999062385067e-15
47.975,5.1412016933419453e-14,1.4135074570138684e-11,2.557613022371918e-12,2.6675427910836414e-12,0.49162165335062696,8.633588280802438e-16,0.6726786156406508,2.400744685249686e-13,0.020880248537465375,4.398585128913266e-15,0.020880248537465375,6.913944075099017e-15
47.983333333333334,5.141921143282547e-14,1.4137075121819413e-11,2.5576496649339243e-12,2.6676003942804406e-12,0.49160013033521394,8.633210305478587e-16,0.6726322895075717,2.400579350400039e-13,0.020866220826513505,4.395630083590176e-15,0.020866220826513505,6.910891070510148e-15
47.99166666666667,5.142640561728169e-14,1.4139075535725845e-11,2.5576862828788255e-12,2.66765797204398e-12,0.4915786113738447,8.632832401349616e-16,0.6725859665648878,2.4004140269366975e-13,0.020852202539619696,4.39267702351748e-15,0.020852202539619696,6.907840047299581e-15
48.0,5.143359948684749e-14,1.414107581186747e-11,2.5577228762231604e-12,2.667715524390767e-12,0.4915570964655877,8.632454568399167e-16,0.6725396468123793,2.400248714858877e-13,0.020838193670452705,4.389725947361454e-15,0.020838193670452705,6.904791004149312e-15
48.00833333333333,5.1440793041582135e-14,1.4143075950253776e-11,2.5577594449834556e-12,2.6677730513372956e-12,0.4915355856095117,8.632076806610885e-16,0.6724933302498266,2.4000834141657944e-13,0.020824194212685526,4.3867768537892646e-15,0.020824194212685526,6.901743939742225e-15
48.016666666666666,5.144798628154494e-14,1.4145075950894247e-11,2.557795989176227e-12,2.66783055290005e-12,0.49151407880468556,8.631699115968418e-16,0.6724470168770099,2.3999181248566647e-13,0.020810204159995446,4.383829741468983e-15,0.020810204159995446,6.898698852762086e-15
48.025,5.1455179206795165e-14,1.4147075813798367e-11,2.5578325088179796e-12,2.6678880290955024e-12,0.4914925760501786,8.631321496455423e-16,0.6724007066937097,2.399752846930704e-13,0.020796223506063954,4.380884609069567e-15,0.020796223506063954,6.895655741893543e-15
48.03333333333333,5.146237181739211e-14,1.4149075538975623e-11,2.5578690039252076e-12,2.6679454799401157e-12,0.4914710773450602,8.630943948055555e-16,0.6723543996997062,2.3995875803871295e-13,0.0207822522445768,4.3779414552608716e-15,0.0207822522445768,6.892614605822119e-15
48.041666666666664,5.1469564113395003e-14,1.4151075126435504e-11,2.557905474514393e-12,2.6680029054503403e-12,0.49144958268839994,8.630566470752477e-16,0.6723080958947798,2.3994223252251555e-13,0.02076829036922399,4.375000278713647e-15,0.02076829036922399,6.889575443234226e-15
48.05,5.147675609486311e-14,1.4153074576187491e-11,2.557941920602008e-12,2.668060305642617e-12,0.491428092079268,8.630189064529858e-16,0.6722617952787109,2.399257081444e-13,0.020754337873699753,4.372061078099535e-15,0.020754337873699753,6.8865382528171465e-15
48.05833333333333,5.1483947761855635e-14,1.4155073888241073e-11,2.5579783422045132e-12,2.6681176805333742e-12,0.49140660551673454,8.62981172937137e-16,0.6722154978512798,2.399091849042877e-13,0.020740394751702543,4.3691238520910655e-15,0.020740394751702543,6.883503033259043e-15
48.06666666666666,5.149113911443179e-14,1.4157073062605727e-11,2.558014739338358e-12,2.668175030139031e-12,0.49138512299987014,8.629434465260689e-16,0.672169203612267,2.3989266280210053e-13,0.02072646099693509,4.36618859936167e-15,0.02072646099693509,6.880469783248968e-15
48.075,5.1498330152650813e-14,1.4159072099290934e-11,2.55805111201998e-12,2.668232354475993e-12,0.49136364452774545,8.629057272181496e-16,0.6721229125614528,2.3987614183775995e-13,0.0207125366031043,4.363255318585661e-15,0.0207125366031043,6.877438501476835e-15
48.083333333333336,5.1505520876571823e-14,1.4161070998306187e-11,2.5580874602658084e-12,2.6682896535606595e-12,0.49134217009943154,8.628680150117477e-16,0.6720766246986177,2.398596220111876e-13,0.02069862156392135,4.3603240084382486e-15,0.02069862156392135,6.874409186633446e-15
48.09166666666667,5.151271128625405e-14,1.416306975966095e-11,2.558123784092258e-12,2.6683469274094134e-12,0.4913206997139997,8.628303099052324e-16,0.6720303400235423,2.398431033223053e-13,0.020684715873101635,4.357394667595532e-15,0.020684715873101635,6.871381837410476e-15
48.1,5.1519901381756635e-14,1.4165068383364714e-11,2.5581600835157345e-12,2.6684041760386297e-12,0.49129923337052145,8.627926118969728e-16,0.671984058536007,2.398265857710345e-13,0.02067081952436475,4.354467294734497e-15,0.02067081952436475,6.868356452500476e-15
48.108333333333334,5.1527091163138716e-14,1.4167066869426963e-11,2.5581963585526328e-12,2.6684613994646733e-12,0.49127777106806864,8.627549209853393e-16,0.6719377802357921,2.3981006935729694e-13,0.02065693251143452,4.351541888533016e-15,0.02065693251143452,6.8653330305968704e-15
48.11666666666667,5.153428063045943e-14,1.4169065217857163e-11,2.5582326092193362e-12,2.668518597703896e-12,0.4912563128057133,8.627172371687021e-16,0.6718915051226781,2.3979355408101426e-13,0.020643054828039,4.34861844766986e-15,0.020643054828039,6.862311570393966e-15
48.125,5.1541469783777897e-14,1.4171063428664805e-11,2.5582688355322164e-12,2.6685757707726405e-12,0.4912348585825277,8.626795604454319e-16,0.6718452331964458,2.3977703994210815e-13,0.020629186467910444,4.345696970824676e-15,0.020629186467910444,6.85929207058693e-15
48.13333333333333,5.154865862315322e-14,1.4173061501859354e-11,2.558305037507635e-12,2.668632918687237e-12,0.49121340839758443,8.626418908139002e-16,0.6717989644568755,2.3976052694050027e-13,0.020615327424785317,4.3427774566780046e-15,0.020615327424785317,6.856274529871817e-15
48.141666666666666,5.155584714864448e-14,1.4175059437450303e-11,2.558341215161943e-12,2.6686900414640062e-12,0.49119196224995637,8.626042282724788e-16,0.6717526989037478,2.397440150761123e-13,0.02060147769240429,4.339859903911269e-15,0.02060147769240429,6.8532589469455454e-15
48.15,5.1563035360310785e-14,1.4177057235447118e-11,2.558377368511478e-12,2.6687471391192572e-12,0.49117052013871665,8.625665728195399e-16,0.6717064365368431,2.3972750434886587e-13,0.02058763726451226,4.3369443112067835e-15,0.02058763726451226,6.850245320505913e-15
48.15833333333333,5.157022325821116e-14,1.4179054895859273e-11,2.5584134975725704e-12,2.668804211669289e-12,0.4911490820629385,8.62528924453456e-16,0.6716601773559423,2.3971099475868275e-13,0.020573806134858305,4.334030677247743e-15,0.020573806134858305,6.847233649251585e-15
48.166666666666664,5.157741084240469e-14,1.4181052418696254e-11,2.558449602361536e-12,2.668861259130389e-12,0.49112764802169573,8.624912831726006e-16,0.6716139213608256,2.396944863054846e-13,0.020559984297195695,4.3311190007182265e-15,0.020559984297195695,6.844223931882095e-15
48.175,5.158459811295039e-14,1.4183049803967523e-11,2.5584856828946827e-12,2.668918281518834e-12,0.4911062180140619,8.624536489753467e-16,0.671567668551274,2.396779789891931e-13,0.020546171745281932,4.328209280303204e-15,0.020546171745281932,6.8412161670978575e-15
48.18333333333333,5.1591785069907287e-14,1.4185047051682562e-11,2.5585217391883048e-12,2.66897527885089e-12,0.49108479203911143,8.624160218600688e-16,0.6715214189270678,2.3966147280972995e-13,0.020532368472878676,4.325301514688519e-15,0.020532368472878676,6.838210353600145e-15
48.19166666666666,5.159897171333438e-14,1.418704416185084e-11,2.558557771258687e-12,2.669032251142812e-12,0.4910633700959186,8.623784018251413e-16,0.6714751724879878,2.3964496776701693e-13,0.020518574473751796,4.322395702560906e-15,0.020518574473751796,6.835206490091111e-15
48.2,5.16061580432907e-14,1.418904113448184e-11,2.5585937791221036e-12,2.669089198410845e-12,0.49104195218355795,8.623407888689389e-16,0.6714289292338145,2.396284638609756e-13,0.020504789741671327,4.319491842607975e-15,0.020504789741671327,6.832204575273762e-15
48.208333333333336,5.161334405983519e-14,1.4191037969585018e-11,2.5586297627948162e-12,2.6691461206712213e-12,0.4910205383011046,8.623031829898374e-16,0.6713826891643287,2.3961196109152785e-13,0.020491014270411542,4.3165899335182275e-15,0.020491014270411542,6.829204607851997e-15
48.21666666666667,5.1620529763026845e-14,1.4193034667169855e-11,2.5586657222930773e-12,2.669203017940165e-12,0.4909991284476335,8.622655841862124e-16,0.671336452279311,2.395954594585953e-13,0.020477248053750834,4.313689973981034e-15,0.020477248053750834,6.826206586530557e-15
