year,CO2 emission intensity (kg/yr),CH4 emission intensity (kg/yr),CH4 fossil emission intensity (kg/yr),N2O emission intensity (kg/yr),atmospheric CO2 (in kg),atmospheric CH4 (in kg),atmospheric CH4 fossil (in kg),atmospheric N2O (in kg),CO2 irf (in W/m^2),CH4 irf (in W/m^2),CH4 fossil irf (in W/m^2),N2O irf (in W/m^2),CO2 crf (in W/m^2),CH4 crf (in W/m^2),CH4 fossil crf (in W/m^2),N2O crf (in W/m^2)
2072.6666666666233,0.0,0.0,0.0,0.0,0.0,0.0016457877540028178,0.005470388723465945,0.0,0.0,3.466978626770267e-16,1.16126638664444e-15,0.0,0.0,2.182250128255923e-14,1.1922713383691798e-14,0.0
2072.7499999999563,0.0,0.0,0.0,0.0,0.0,0.001634764434642111,0.005433748614934749,0.0,0.0,3.44375715575939e-16,1.1536043756412722e-15,0.0,0.0,2.1851295906612718e-14,1.201916231204335e-14,0.0
2072.83333333329,0.0,0.0,0.0,0.0,0.0,0.0016238149483558287,0.005397353918132236,0.0,0.0,3.4206912198048137e-16,1.1459934321701977e-15,0.0,0.0,2.187989766719639e-14,1.211497489419501e-14,0.0
2072.9166666666233,0.0,0.0,0.0,0.0,0.0,0.001612938800617531,0.005361202989315547,0.0,0.0,3.397779777148515e-16,1.1384332174488945e-15,0.0,0.0,2.19083078560902e-14,1.2210155371478738e-14,0.0
2072.9999999999563,0.0,0.0,0.0,0.0,0.0,0.0016021355002130658,0.005325294195751453,0.0,0.0,3.37502179301006e-16,1.130923394904878e-15,0.0,0.0,2.1936527756421884e-14,1.230470795708792e-14,0.0
2073.0833333332894,0.0,0.0,0.0,0.0,0.0,0.001591404559218384,0.005289625915642603,0.0,0.0,3.3524162395398696e-16,1.123463630161829e-15,0.0,0.0,2.1964558642724916e-14,1.2398636836260918e-14,0.0
2073.166666666623,0.0,0.0,0.0,0.0,0.0,0.0015807454929775016,0.0052541965380542835,0.0,0.0,3.329962095772797e-16,1.1160535910259907e-15,0.0,0.0,2.199240178099609e-14,1.2491946166463526e-14,0.0
2073.2499999999563,0.0,0.0,0.0,0.0,0.0,0.001570157820080612,0.005219004462841653,0.0,0.0,3.3076583475820147e-16,1.1086929474726389e-15,0.0,0.0,2.202005842875266e-14,1.2584640077570275e-14,0.0
2073.3333333332894,0.0,0.0,0.0,0.0,0.0,0.0015596410623423414,0.005184048100577482,0.0,0.0,3.2855039876332155e-16,1.1013813716326186e-15,0.0,0.0,2.2047529835089172e-14,1.2676722672044612e-14,0.0
2073.4166666666224,0.0,0.0,0.0,0.0,0.0,0.0015491947447801545,0.005149325872480364,0.0,0.0,3.2634980153391144e-16,1.0941185377789519e-15,0.0,0.0,2.2074817240733853e-14,1.276819802511797e-14,0.0
2073.499999999956,0.0,0.0,0.0,0.0,0.0,0.0015388183955929004,0.005114836210343405,0.0,0.0,3.241639436814259e-16,1.0869041223135155e-15,0.0,0.0,2.2101921878104676e-14,1.2859070184967727e-14,0.0
2073.5833333332894,0.0,0.0,0.0,0.0,0.0,0.0015285115461395036,0.005080577556463408,0.0,0.0,3.2199272648301406e-16,1.0797378037537876e-15,0.0,0.0,2.2128844971364983e-14,1.2949343172894032e-14,0.0
2073.6666666666224,0.0,0.0,0.0,0.0,0.0,0.0015182737309178,0.005046548363570506,0.0,0.0,3.1983605187706066e-16,1.0726192627196638e-15,0.0,0.0,2.2155587736478805e-14,1.3039020983495566e-14,0.0
2073.7499999999554,0.0,0.0,0.0,0.0,0.0,0.0015081044875435113,0.005012747094758298,0.0,0.0,3.176938224587572e-16,1.0655481819203443e-15,0.0,0.0,2.218215138126577e-14,1.3128107584844183e-14,0.0
2073.833333333289,0.0,0.0,0.0,0.0,0.0,0.0014980033567293621,0.004979172223414419,0.0,0.0,3.1556594147570273e-16,1.0585242461412876e-15,0.0,0.0,2.2208537105455644e-14,1.3216606918658464e-14,0.0
2073.9166666666224,0.0,0.0,0.0,0.0,0.0,0.0014879698822643367,0.004945822233151602,0.0,0.0,3.13452312823534e-16,1.0515471422312353e-15,0.0,0.0,2.2234746100742537e-14,1.3304522900476193e-14,0.0
2073.9999999999554,0.0,0.0,0.0,0.0,0.0,0.0014780036109930746,0.004912695617739186,0.0,0.0,3.113528410415851e-16,1.044616559089306e-15,0.0,0.0,2.2260779550838702e-14,1.3391859419825763e-14,0.0
2074.0833333332885,0.0,0.0,0.0,0.0,0.0,0.0014681040927954042,0.004879790881035094,0.0,0.0,3.0926743130857594e-16,1.0377321876521567e-15,0.0,0.0,2.2286638631528017e-14,1.3478620340396477e-14,0.0
2074.166666666622,0.0,0.0,0.0,0.0,0.0,0.001458270880566012,0.004847106536918251,0.0,0.0,3.0719598943832973e-16,1.030893720881215e-15,0.0,0.0,2.231232451071907e-14,1.3564809500207824e-14,0.0
2074.2499999999554,0.0,0.0,0.0,0.0,0.0,0.0014485035301942514,0.004814641109221474,0.0,0.0,3.0513842187551917e-16,1.024100853749978e-15,0.0,0.0,2.233783834849792e-14,1.3650430711777657e-14,0.0
2074.3333333332885,0.0,0.0,0.0,0.0,0.0,0.001438801600544084,0.004782393131664797,0.0,0.0,3.0309463569144103e-16,1.0173532832313822e-15,0.0,0.0,2.236318129718049e-14,1.3735487762289348e-14,0.0
2074.4166666666215,0.0,0.0,0.0,0.0,0.0,0.0014291646534341554,0.004750361147789249,0.0,0.0,3.0106453857981916e-16,1.0106507082852377e-15,0.0,0.0,2.23883545013646e-14,1.3819984413757866e-14,0.0
2074.499999999955,0.0,0.0,0.0,0.0,0.0,0.0014195922536180054,0.004718543710891075,0.0,0.0,2.990480388526353e-16,1.0039928298457367e-15,0.0,0.0,2.241335909798168e-14,1.3903924403194823e-14,0.0
2074.5833333332885,0.0,0.0,0.0,0.0,0.0,0.0014100839687644104,0.004686939383956389,0.0,0.0,2.970450454359885e-16,9.97379350809024e-16,0.0,0.0,2.24381962163481e-14,1.3987311442772488e-14,0.0
2074.6666666666215,0.0,0.0,0.0,0.0,0.0,0.0014006393694378583,0.004655546739596284,0.0,0.0,2.950554678659813e-16,9.908099760208397e-16,0.0,0.0,2.2462866978216188e-14,1.4070149219986754e-14,0.0
2074.7499999999545,0.0,0.0,0.0,0.0,0.0,0.0013912580290791512,0.004624364359982358,0.0,0.0,2.930792162846343e-16,9.842844122642273e-16,0.0,0.0,2.2487372497824893e-14,1.4152441397819087e-14,0.0
2074.833333333288,0.0,0.0,0.0,0.0,0.0,0.0013819395239861422,0.004593390836782677,0.0,0.0,2.91116201435828e-16,9.778023682473112e-16,0.0,0.0,2.251171388195009e-14,1.423419161489745e-14,0.0
2074.9166666666215,0.0,0.0,0.0,0.0,0.0,0.0013726834332945983,0.004562624771098176,0.0,0.0,2.8916633466127096e-16,9.713635545911403e-16,0.0,0.0,2.2535892229954597e-14,1.4315403485656234e-14,0.0
2074.9999999999545,0.0,0.0,0.0,5.804752358114455e-76,0.0,0.0013634893389591926,0.004532064773399468,4.837293631762046e-77,0.0,2.872295278964961e-16,9.649676838175989e-16,1.726397525865261e-89,0.0,2.2559908633837805e-14,1.439608060049511e-14,0.0
2075.0833333332876,0.0,0.0,0.0,1.8533028540314163e-53,0.0,0.0013543568257346223,0.004501709463464099,1.54441904502618e-54,0.0,2.853056936668834e-16,9.586144703373863e-16,5.511927580177017e-67,0.0,2.2583764178285005e-14,1.4476226525936976e-14,1.4381693106764612e-90
2075.166666666621,0.0,0.0,0.0,3.2905033789188567e-42,0.0,0.0013452854811568573,0.004471557470314199,2.7420861491144803e-43,0.0,2.8339474508370863e-16,9.52303630438061e-16,9.786320831254244e-56,0.0,2.260745994071637e-14,1.4555844804784827e-14,4.591691640955489e-68
2075.2499999999545,0.0,0.0,0.0,4.392487391209774e-35,0.0,0.001336274895524508,0.0044416074321545745,3.660406433361309e-36,0.0,2.814965958402197e-16,9.460348822721535e-16,1.3063744091785385e-48,0.0,2.2630996991335632e-14,1.463493895627766e-14,8.152459716350019e-57
2075.3333333332876,0.0,0.0,0.0,4.7958289439465796e-30,0.0,0.0013273246618803244,0.004411857996311193,3.996560698819085e-31,0.0,2.7961116020773825e-16,9.39807945845345e-16,1.4263456030677884e-43,0.0,2.2654376393178402e-14,1.4713512476245385e-14,1.0882706306798562e-49
