"treatment of wastewater from maize starch production, wastewater treatment | heat, central or small-scale, other than natural gas | EN15804, U",ee86acca-3bbe-4859-82e0-1b05659340cd,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",271cbd51-5cfb-446f-b46a-bbde2390236d,1,MJ
"heat production, wood pellet, at furnace 300kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",01ed22a8-7009-4e73-acc2-b274cf4e2ec0,1,MJ
"heat production, mixed logs, at furnace 30kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",557f72fc-77bd-4d98-82c5-e5b32004c105,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",c43aef6f-b236-469d-8515-a24251973a55,1,MJ
"heat production, hardwood chips from forest, at furnace 50kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",0e29981c-8056-4d3f-b1c3-173cd84b7960,1,MJ
"heat production, softwood chips from forest, at furnace 50kW | heat, central or small-scale, other than natural gas | EN15804, U",4c7a9fc4-ca58-4c88-a064-d46e6df8b1c5,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",bc4dd3f8-a94a-48f6-aed8-02f0ba26aa11,1,MJ
"heat production, wood pellet, at furnace 25kW | heat, central or small-scale, other than natural gas | EN15804, U",08cbe8b0-3e46-4515-94fb-e3bf20616bc3,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",19277336-c047-467a-b75a-573a2dbc18da,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",d07f0f4b-4d89-42b0-841c-21f174154619,1,MJ
"operation, solar collector system, Cu flat plate collector, one-family house, for hot water | heat, central or small-scale, other than natural gas | EN15804, U",52c6be6b-5442-4d22-807d-e32f26331e07,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",621a44d1-88b9-4690-9e31-126bff6e4d55,1,MJ
"heat production, mixed logs, at furnace 30kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",24cfe700-637d-49bf-b82e-800586735edb,1,MJ
"heat production, hard coal briquette, stove 5-15kW | heat, central or small-scale, other than natural gas | EN15804, U",2e1f161e-5b0b-4601-9f99-cf6f4b70ffec,1,MJ
"heat production, wood pellet, at furnace 9kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",e4144af1-d6f4-49d7-a112-536fd839b30d,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",5f033c5e-46e0-409b-92f7-7d331adb4afe,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",04193547-290d-4e90-b37d-8cdcb9c95f0d,1,MJ
"heat production, wood pellet, at furnace 9kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",0f2b3ec3-43df-4ae5-9d3c-7eadc5e6a4c4,1,MJ
"heat and power co-generation, biogas, gas engine, renewable energy products | heat, central or small-scale, other than natural gas | EN15804, U",f5c429b6-c4e1-4ae2-966b-0ebfbcebc8bd,1,MJ
"biomethane, low pressure burned in micro gas turbine 100kWe | heat, central or small-scale, other than natural gas | EN15804, U",10a0cb4c-bd47-4b83-9527-675dd17c294b,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",5058a911-7728-40b2-95c2-e7a04d6eb11b,1,MJ
"heat production, mixed logs, at furnace 30kW | heat, central or small-scale, other than natural gas | EN15804, U",bb107e2c-0a62-4bf4-999d-11ea9cdeec28,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",7cae1a2c-9430-4edd-802c-0300a3771012,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",c425cc64-9e62-4a73-9de6-5e86d0fd2926,1,MJ
"heat production, wood pellet, at furnace 9kW | heat, central or small-scale, other than natural gas | EN15804, U",7a98b13a-7ddd-485b-8e58-82cd2086cd30,1,MJ
"heat production, mixed logs, at furnace 30kW | heat, central or small-scale, other than natural gas | EN15804, U",38b5c2d8-dc31-41b9-baa0-c83529eec832,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",9cab5faf-531f-4f14-ab5a-45e0f1127faa,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",0516e157-9126-4419-b14e-5ee7cca2ef06,1,MJ
"operation, solar collector system, Cu flat plate collector, multiple dwelling, for hot water | heat, central or small-scale, other than natural gas | EN15804, U",9ca53283-fcdc-4609-8877-c10b8ab9cd7b,1,MJ
"heat production, wood pellet, at furnace 9kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",7d19ce51-213c-4e9d-ab92-fc4af35da1a9,1,MJ
"heat production, wood pellet, at furnace 300kW | heat, central or small-scale, other than natural gas | EN15804, U",f13af7f1-ba31-46ff-aafa-352db6920294,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",cb881a23-6897-4b87-b645-7b23afa145da,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",9b1cda23-6d61-4dcb-a419-7e10a1d901e4,1,MJ
"heat production, wood pellet, at furnace 25kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",5ce8b668-c512-466e-b6c7-a9c7e94d96ff,1,MJ
"heat production, hardwood chips from forest, at furnace 50kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",27a1670a-6575-4097-8668-51d6b39725f0,1,MJ
"biomethane, low pressure burned in micro gas turbine 100kWe | heat, central or small-scale, other than natural gas | EN15804, U",ffea251f-31dc-4de5-b7e6-72d9d2e9103b,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",8f5c197e-9ffd-4f6b-8d3a-c415ccd8ea06,1,MJ
"heat production, wood pellet, at furnace 300kW | heat, central or small-scale, other than natural gas | EN15804, U",87333dd1-3902-40f4-9bf1-72c5b73712c8,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",3c5a6965-0a8c-45a3-b5f0-7f4c1b0efa8c,1,MJ
"heat production, wood pellet, at furnace 25kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",cf8c76b9-673f-4d45-a506-3ca7df54e5bd,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",2390707d-5697-4da0-94e3-67a34c2c40cb,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",ac1c7c0f-77a5-4806-b054-c7b505c4ba32,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",605fccb0-ac54-4ac3-9d25-edb118b93cd2,1,MJ
"heat production, softwood chips from forest, at furnace 50kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",e0a36c8d-f12a-4b2a-9c92-6ec609aba133,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",5fa0078c-45a6-40a6-abd2-f8ebb1e541c3,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",cb9e8fdd-672f-4d8e-8fe9-d2426a9fa1b8,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",8b947b6e-e7de-46dc-9aa9-7fc08d94fb77,1,MJ
"heat production, wood pellet, at furnace 300kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",25457970-298f-4d70-833d-bd7b8f5f99f0,1,MJ
"operation, solar collector system, Cu flat plate collector, multiple dwelling, for hot water | heat, central or small-scale, other than natural gas | EN15804, U",b8956dc0-2fde-478a-95c7-f43df1af634d,1,MJ
"heat production, wood pellet, at furnace 25kW | heat, central or small-scale, other than natural gas | EN15804, U",a018ef2a-d095-440a-9657-fdc726352aa0,1,MJ
"heat production, mixed logs, at furnace 100kW | heat, central or small-scale, other than natural gas | EN15804, U",21166c97-41b1-4803-9d84-7b76b8902242,1,MJ
