Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
Electricity - GEOTHERMAL - Nevada Power Company,1,MJ,694e11f6-84d9-3372-9342-b30eea223117,0.021013702,9.61E-06,1.62E-07,2.63E-15,0.000869211,0.020874186,4.85E-06,5.78E-09
Electricity - GEOTHERMAL - PacifiCorp East,1,MJ,d3dc06db-ec69-3b5c-8b76-a50869d1eb64,0.020365073,2.93E-06,1.62E-07,2.63E-15,8.15E-05,0.020339233,7.92E-07,5.78E-09
Electricity - GEOTHERMAL - PacifiCorp West,1,MJ,598942cf-ee5c-3943-bd7e-462705fcb53b,0.026512201,2.35E-05,1.63E-07,2.63E-15,8.29E-05,0.023788292,9.72E-05,5.78E-09
Electricity - GEOTHERMAL - Public Service Company of New Mexico,1,MJ,45fb226d-4cdf-3a2c-abb0-65ee74602c6e,0.020364835,2.93E-06,1.62E-07,2.63E-15,8.15E-05,0.020338994,7.92E-07,5.78E-09
"Electricity - HYDRO - Alcoa Power Generating, Inc. - Yadkin Division",1,MJ,11222fcc-f296-3837-950c-a381067cf263,0.0012695,2.54E-24,6.63E-26,0,3.71E-08,0.001197338,2.58E-06,1.50E-24
"Electricity - HYDRO - Associated Electric Cooperative, Inc.",1,MJ,eb70ae86-06c3-3517-9d5f-ca1b2e26b707,0.009867565,1.10E-23,2.87E-25,0,3.92E-07,0.009104616,2.72E-05,6.48E-24
Electricity - HYDRO - Avista Corporation,1,MJ,9acef2b9-8236-3834-bb5b-04f608c64c46,0.001588689,1.45E-24,3.78E-26,0,1.10E-08,0.001567234,7.66E-07,8.53E-25
Electricity - HYDRO - Balancing Authority of Northern California,1,MJ,846fdf41-6654-3f25-ae73-14d82e4d5621,0.000785118,1.74E-24,4.52E-26,0,1.20E-08,0.000761823,8.32E-07,1.02E-24
Electricity - HYDRO - Bonneville Power Administration,1,MJ,016a4ac8-bc3a-36c7-a548-f9fab68929e1,0.000790762,2.96E-09,1.67E-10,0,1.36E-07,0.000774324,5.87E-07,1.95E-25
Electricity - HYDRO - California Independent System Operator,1,MJ,4cec1d7d-8511-3137-866b-a31c1bbfc84f,0.001492844,4.00E-24,1.04E-25,0,6.72E-08,0.001362022,4.67E-06,2.35E-24
"Electricity - HYDRO - City of Tacoma, Department of Public Utilities, Light Division",1,MJ,8062e8c3-1152-3dc9-834e-6639eaba9ca2,0.00055869,1.05E-24,2.73E-26,0,3.06E-09,0.000552725,2.13E-07,6.15E-25
Electricity - HYDRO - Duke Energy Carolinas,1,MJ,1e25efe6-388c-3445-9352-9a755972b091,0.005102198,4.35E-07,4.88E-08,2.05E-12,1.36E-05,0.004538614,2.01E-05,5.25E-10
"Electricity - HYDRO - Duke Energy Florida, Inc.",1,MJ,dcff2595-fd29-3f32-9b8a-491be66dc3e2,0.089215493,2.27E-23,5.91E-25,0,7.39E-06,0.074830692,0.000513743,1.33E-23
Electricity - HYDRO - Duke Energy Progress East,1,MJ,948d2056-c975-3618-8880-fb174d5adf5c,0.002094745,4.35E-06,1.52E-06,1.12E-10,8.69E-05,0.001964333,4.01E-06,1.81E-08
"Electricity - HYDRO - Electric Reliability Council of Texas, Inc.",1,MJ,678375be-9cfa-39ab-87e4-08dcaab62226,0.045055555,8.54E-24,2.23E-25,0,9.24E-06,0.027055774,0.000642849,5.03E-24
Electricity - HYDRO - Florida Power & Light Co.,1,MJ,9e2772e6-4fd7-310a-add2-2ef575b5a309,0.018853302,3.07E-24,8.00E-26,0,1.76E-06,0.015422332,0.000122535,1.81E-24
Electricity - HYDRO - Idaho Power Company,1,MJ,c66a4643-2788-3eec-9bc0-d4880f424e64,0.002190963,3.30E-24,8.60E-26,0,4.08E-08,0.002111567,2.84E-06,1.94E-24
Electricity - HYDRO - Imperial Irrigation District,1,MJ,42b312e2-2c94-3909-8fb4-af3d64b3ed95,2.40E-21,1.39E-23,3.62E-25,0,2.03E-22,8.18E-24,8.18E-24,8.18E-24
