Region,Technology Type,EP,AP,Particulate Matter Formation Potential,SFP,GWP,ODP,Water Consumption
Northwest,SubPC w/ CCS w/ NG Aux,6.48E-02,1.19E+00,1.74E+00,2.29E+01,4.34E+02,1.27E-05,1.40E+04
NYISO,Biomass,2.61E-01,4.43E+00,2.26E-01,1.44E+02,1.21E+03,6.96E-05,3.55E+01
NYISO,Coal,7.80E-02,2.85E+00,2.97E-01,2.38E+01,1.24E+03,2.21E-05,2.26E+03
NYISO,Natural gas,9.11E-02,1.26E+00,4.82E-02,4.22E+01,6.30E+02,1.96E-06,5.98E+02
NYISO,Geothermal,3.41E-03,3.82E-01,1.06E-02,4.67E-01,1.22E+02,9.93E-12,1.28E+02
NYISO,Hydro,1.89E-04,2.64E-03,4.17E-03,3.44E-02,1.31E+01,1.88E-09,5.77E-01
NYISO,Mixed,0.170142596,5.778466433,0.282385434,81.35899,1639.247278,2.50E-06,426.4202749
NYISO,Nuclear,0.022414351,0.249560856,0.013467761,2.10015703,19.91957557,4.28E-09,963.0385071
NYISO,Other fossil,0.337358004,5.378920736,0.080877374,183.7367562,1000.892188,3.71E-08,0.274591276
NYISO,Petroleum,0.22711248,6.400792702,0.472050342,100.5368614,1156.158055,6.25E-06,428.917694
NYISO,Other fuels,0.41507371,8.627789806,3.171644287,160.4460389,1.227012045,2.69E-10,-0.020194082
NYISO,Solar,0.006949794,0.100372758,0.020320062,1.142403483,22.48655151,4.83E-07,-0.021374867
NYISO,Solar thermal,0.076165008,0.518747432,0.01124603,639.2453534,85.34185975,7.17E-09,-4961.031075
NYISO,Wind,0.0547341,0.105424025,0.022276743,1.487676719,29.62566616,1.55E-08,0.431127619
NYISO,SCPC,0.044052848,1.014686014,0.128721494,13.99192937,952.3018335,2.61E-08,8794.775833
NYISO,SCPC w/ CCS,0.053248644,0.823050079,0.121605266,16.67364705,290.1943393,3.21E-08,15926.33813
NYISO,SubPC,0.046416118,1.065356236,0.134168839,14.75815492,993.7782896,2.70E-08,9300.37681
NYISO,SubPC w/ CCS,0.055126958,0.851835274,0.126634736,17.23960949,302.4394314,3.32E-08,16747.95995
NYISO,NGCC,0.028547323,0.418511182,0.006229123,14.67210625,469.0951511,3.87E-09,3143.400562
NYISO,NGCC w/ CCS,0.032507957,0.475883845,0.00908141,16.60451258,155.0958814,4.60E-09,5388.15395
NYISO,OxyPC w/ CCS,0.051429256,0.791153843,0.138531654,15.97687069,280.5332881,3.39E-08,14738.55812
NYISO,SOFC Coal Conventional Gasifier w/ CCS,0.018360221,0.273193784,0.05231992,4.887068189,141.1495167,3.64E-08,5927.026529
NYISO,SOFC NG w/ CCS,0.023631805,0.353489515,0.011347306,11.82714214,95.54496674,3.24E-09,4636.987408
NYISO,SubPC w/ CCS w/ NG Aux,0.065423543,1.196850238,1.756772774,23.15765958,438.1348259,1.28E-05,14133.39757
PJM,Biomass,0.259534646,4.4008985,0.224321715,142.5685809,1204.805929,6.91E-05,35.23480064
PJM,Coal,0.060373336,2.037991061,0.275214184,25.2636022,1180.670925,2.01E-05,3050.356614
PJM,Natural gas,0.071771072,0.885742428,0.044610288,29.35189589,567.9461099,8.74E-07,497.8877335
PJM,Geothermal,0.003389954,0.379753164,0.010567003,0.463578274,121.034738,9.86E-12,126.9147205
PJM,Hydro,0.000187374,0.002619373,0.004143086,0.034145598,12.96278484,1.87E-09,0.572924871
PJM,Mixed,0.098048703,2.791200728,0.239459795,42.32851673,1200.017624,1.68E-05,2133.045687
PJM,Nuclear,0.02229983,0.248472647,0.014272224,2.101441223,19.77910416,4.54E-09,489.9250499
PJM,Other fossil,0.334949141,5.340513227,0.08029988,182.424807,993.745443,3.69E-08,0.272630591
PJM,Petroleum,0.225490811,6.355088645,0.468679725,99.81899059,1147.902654,6.20E-06,425.855061
PJM,Other fuels,0.412109928,8.566184155,3.148997559,159.3003941,1.21825072,2.68E-10,-0.020049889
PJM,Solar,0.006900169,0.099656058,0.020174969,1.134246294,22.32598911,4.79E-07,-0.021222243
PJM,Solar thermal,0.075621161,0.515043381,0.011165729,634.6809022,84.73248691,7.12E-09,-4925.607455
PJM,Wind,0.054343278,0.104671258,0.022117678,1.47705415,29.41412781,1.54E-08,0.428049207
PJM,SCPC,0.043738294,1.007440776,0.127802374,13.89202176,945.5020417,2.59E-08,8731.97784
PJM,SCPC w/ CCS,0.052868429,0.817173193,0.120736959,16.55459096,288.122243,3.18E-08,15812.61811
PJM,SubPC,0.04608469,1.057749193,0.133210824,14.65277617,986.6823404,2.68E-08,9233.968636
PJM,SubPC w/ CCS,0.054733331,0.845752851,0.125730517,17.11651222,300.2799006,3.29E-08,16628.37324
PJM,NGCC,0.028343484,0.415522855,0.006184645,14.56734191,465.745636,3.85E-09,3120.955505
PJM,NGCC w/ CCS,0.032275838,0.472485856,0.009016565,16.48595014,153.9884388,4.57E-09,5349.680513
PJM,OxyPC w/ CCS,0.051062032,0.785504708,0.137542486,15.86278985,278.5301754,3.37E-08,14633.31929
PJM,SOFC Coal Conventional Gasifier w/ CCS,0.018229122,0.271243079,0.051946337,4.852172691,140.1416563,3.62E-08,5884.705339
PJM,SOFC NG w/ CCS,0.023463065,0.350965467,0.011266282,11.74269192,94.8627399,3.22E-09,4603.877581
PJM,SubPC w/ CCS w/ NG Aux,0.064956394,1.188304279,1.744228759,22.99230522,435.0063791,1.27E-05,14032.47982
Southeast,Biomass,2.61E-01,4.42E+00,2.25E-01,1.43E+02,1.21E+03,6.94E-05,3.54E+01
Southeast,Coal,7.96E-02,1.82E+00,2.59E-01,3.09E+01,1.15E+03,2.02E-05,5.67E+03
Southeast,Natural gas,7.16E-02,9.32E-01,4.33E-02,3.08E+01,5.68E+02,7.17E-07,8.31E+02
Southeast,Geothermal,3.40E-03,3.81E-01,1.06E-02,4.65E-01,1.21E+02,9.90E-12,1.27E+02
Southeast,Hydro,1.88E-04,2.63E-03,4.16E-03,3.43E-02,1.30E+01,1.87E-09,5.75E-01
