name,UUID,declared_qty,declared_unit,conversion_factor,converted_unit
"blow moulding | blow moulding | EN15804, U",e3716672-40aa-4da2-bff5-aae3d33ae904,1,kg,6.12,MJ
"window frame production, wood, U=1.5 W/m2K | wood pellet, measured as dry mass | EN15804, U",431b3e79-90c7-4604-92be-5abb44cef3ae,1,kg,18.7,MJ
"window frame production, wood-metal, U=1.6 W/m2K | wood pellet, measured as dry mass | EN15804, U",e35ee118-8f28-42e3-8ea2-10fd352b81a6,1,kg,18.7,MJ
"window frame production, wood-metal, U=1.6 W/m2K | wood pellet, measured as dry mass | EN15804, U",99ea8586-6c96-4aa6-b482-feee6cb2730d,1,kg,18.7,MJ
"wood pellet production | wood pellet, measured as dry mass | EN15804, U",06877c02-78f6-4e46-a684-089e8e37628d,1,kg,18.7,MJ
"wood pellet production | wood pellet, measured as dry mass | EN15804, U",7321584c-70a4-490c-a906-0763d24f3db8,1,kg,18.7,MJ
"hardwood forestry, oak, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",d2de2bbc-95bf-495f-bb61-af107ad5bf12,1,kg,18.55,MJ
"hardwood forestry, birch, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",8dc42140-bde3-441e-8532-476c67708388,1,kg,18.55,MJ
"market for cleft timber, measured as dry mass | cleft timber, measured as dry mass | EN15804, U",1e664df6-e557-48bd-82f9-a3ce6bf9f89d,1,kg,18.55,MJ
"cork forestry | cleft timber, measured as dry mass | EN15804, U",cb3b609e-043d-4ea7-808e-a37672ec5319,1,kg,18.55,MJ
"softwood forestry, spruce, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",311ffe5a-b326-4abf-86d0-bf89443842ba,1,kg,18.55,MJ
"hardwood forestry, beech, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",4be61309-9d84-44a0-9179-6efa613822b5,1,kg,18.55,MJ
"softwood forestry, spruce, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",611aa0f1-12c9-43d0-869a-69a1e41da1e6,1,kg,18.55,MJ
"softwood forestry, spruce, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",f9bf3be7-970d-4135-9ff4-8f9cea7efffa,1,kg,18.55,MJ
"market for cleft timber, measured as dry mass | cleft timber, measured as dry mass | EN15804, U",0716d63a-26da-4e6f-99ae-433ae2bb1b1b,1,kg,18.55,MJ
"market for cleft timber, measured as dry mass | cleft timber, measured as dry mass | EN15804, U",840321f7-8b97-46c9-8e18-2c4072963d16,1,kg,18.55,MJ
"market for cleft timber, measured as dry mass | cleft timber, measured as dry mass | EN15804, U",20c51db9-ba89-4d6a-98fa-0a4dd23c98e1,1,kg,18.55,MJ
"hardwood forestry, birch, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",21d91ebf-2cb8-46a1-978a-77eb29a83697,1,kg,18.55,MJ
"softwood forestry, mixed species, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",08566de6-ae75-41ae-a688-5bf9b306dcdb,1,kg,18.55,MJ
"cork forestry | cleft timber, measured as dry mass | EN15804, U",e506dac8-bc57-492c-8aed-9812ce772c11,1,kg,18.55,MJ
"hardwood forestry, beech, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",c8634a78-9c09-44bb-9159-3063d6c57dd9,1,kg,18.55,MJ
"hardwood forestry, eucalyptus ssp., planted forest management | cleft timber, measured as dry mass | EN15804, U",3acec7ba-e1f2-4518-8af8-29a2a6a23519,1,kg,18.55,MJ
"softwood forestry, pine, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",8785b84d-5f57-42a1-9545-e633f585b698,1,kg,18.55,MJ
"hardwood forestry, eucalyptus ssp., planted forest management | cleft timber, measured as dry mass | EN15804, U",c9c52724-af96-49f5-b2bc-223db7c65e90,1,kg,18.55,MJ
"hardwood forestry, eucalyptus ssp., planted forest management | cleft timber, measured as dry mass | EN15804, U",b0e11670-0d61-48c2-8719-ba01808d6a10,1,kg,18.55,MJ
"softwood forestry, pine, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",f2d9fdc4-3d0a-4a2c-ac2b-edd97e567f7c,1,kg,18.55,MJ
"hardwood forestry, eucalyptus ssp., planted forest management | cleft timber, measured as dry mass | EN15804, U",4a558127-b8bd-4945-a4e6-de29b46a045f,1,kg,18.55,MJ
"hardwood forestry, oak, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",44767eee-bdb5-4a9b-bae9-24ac8c96c536,1,kg,18.55,MJ
"hardwood forestry, mixed species, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",9b542edf-bd65-4775-9081-f270f18c9a03,1,kg,18.55,MJ
"softwood forestry, pine, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",35872c1e-d736-4eff-816f-c47703f08c03,1,kg,18.55,MJ
"treatment of waste wood, post-consumer, sorting and shredding | wood chips, from post-consumer wood, measured as dry mass | EN15804, U",58b4c21f-0ec0-4031-a4e6-5f43f57fd234,1,kg,9.99,MJ
"treatment of waste wood, post-consumer, sorting and shredding | wood chips, from post-consumer wood, measured as dry mass | EN15804, U",f1eb3d0f-0a5b-46e6-a857-4d6e825bae0f,1,kg,9.99,MJ
"market for wood chips, from post-consumer wood, measured as dry mass | wood chips, from post-consumer wood, measured as dry mass | EN15804, U",9837f13b-b525-4441-a630-fa464c078dc9,1,kg,9.99,MJ
"market for wood chips, from post-consumer wood, measured as dry mass | wood chips, from post-consumer wood, measured as dry mass | EN15804, U",0a62ae31-fe02-48fb-931f-dbe9157f7a96,1,kg,9.99,MJ
"sulfate pulp production, from softwood, bleached | bark chips, wet, measured as dry mass | EN15804, U",25cad839-cada-4218-befd-f68cadda7093,1,kg,13.6,MJ
"bark chips production, softwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",2353bc13-a3fe-4b33-a71d-afc04c9fcf57,1,kg,13.6,MJ
"market for bark chips, wet, measured as dry mass | bark chips, wet, measured as dry mass | EN15804, U",4d3ae591-eca3-4754-8007-f3d5b494fca5,1,kg,13.6,MJ
"folding boxboard carton production | bark chips, wet, measured as dry mass | EN15804, U",684de428-3d7b-43ad-8eba-2e23a69d14db,1,kg,13.6,MJ
"oriented strand board production | bark chips, wet, measured as dry mass | EN15804, U",2fe11f21-4c30-4810-8030-29e067e66c48,1,kg,13.6,MJ
"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",be912ab0-6b82-4479-8df6-a76cb8eb8511,1,kg,13.6,MJ
"kraft paper production | bark chips, wet, measured as dry mass | EN15804, U",a9411b1e-78f3-4346-9486-655b204022bf,1,kg,13.6,MJ
"bark chips production, softwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",7e52b023-80f9-40bc-a294-29759b12fea6,1,kg,13.6,MJ
"fibreboard production, soft, from wet & dry processes | bark chips, wet, measured as dry mass | EN15804, U",9d178b27-7777-4e29-96b7-d472ed501eed,1,kg,13.6,MJ
"bark chips production, softwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",e2e66f90-6698-44d0-87e2-46d4468ca6b8,1,kg,13.6,MJ
"sulfate pulp production, from softwood, unbleached | bark chips, wet, measured as dry mass | EN15804, U",20c54e1d-433c-4cb4-81df-8f2b7b70e94f,1,kg,13.6,MJ
"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",57c45e75-a951-4323-8114-cb681515f6ee,1,kg,13.6,MJ
"market for bark chips, wet, measured as dry mass | bark chips, wet, measured as dry mass | EN15804, U",9b328fe4-458a-4a0d-8b81-51be997919e9,1,kg,13.6,MJ
"fibreboard production, hard | bark chips, wet, measured as dry mass | EN15804, U",325b853e-0e61-4f52-a85d-7149337d6d18,1,kg,13.6,MJ
"oriented strand board production | bark chips, wet, measured as dry mass | EN15804, U",5e79ebfc-883f-4034-b7e9-e97ec9be977a,1,kg,13.6,MJ
"fibreboard production, hard | bark chips, wet, measured as dry mass | EN15804, U",7b8a085c-adff-43df-bba5-ec3659a03714,1,kg,13.6,MJ
"bark chips production, softwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",25148502-389c-48cb-ba66-c7f90d37d57c,1,kg,13.6,MJ
"sulfate pulp production, from softwood, unbleached | bark chips, wet, measured as dry mass | EN15804, U",aa9b3e2c-ad13-4e4c-b92c-a5f9238f121d,1,kg,13.6,MJ
