Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
Electricity - SOLAR - Portland General Electric Company,1.0,MJ,82f2b275-2e5c-3b72-b506-115cd28c41d1,0.009906237020005303,2.8583116393229074e-05,2.3260728336277163e-06,1.9909578776514108e-10,0.0004809241590279064,0.009091436314387726,2.100343274364226e-05,2.8346572580645305e-08
Electricity - SOLARTHERMAL - Arizona Public Service Company,1.0,MJ,8e59d5d3-c9fc-33b2-bbbf-a673de0c4ce4,0.0004250359733559824,1.317735895572481e-06,6.35709412710191e-08,1.6108400740718178e-12,0.0001220445505335192,0.00040008858467056993,8.579084193996923e-07,1.9957586496185938e-09
Electricity - WIND - PacifiCorp West,1.0,MJ,8795c938-7cb3-3708-b176-2ba4953c6d7a,0.009646460503749997,2.6997284939442794e-05,1.7002017823560726e-05,4.92461736771884e-12,0.0002928334902232531,0.00901994521069031,2.1097846930292107e-05,3.182004384438781e-08
Electricity - WIND - Nevada Power Company,1.0,MJ,0a52fdfe-e9b4-35b0-add7-2c589d1a065b,0.00946932717567835,2.5977015060182192e-05,1.9498786279176312e-05,4.102669952569312e-12,0.00028207781615271024,0.008869838865214936,2.0344213940507983e-05,3.560013343414809e-08
Electricity - OTHF - PacifiCorp East,1.0,MJ,f2c9e2c2-a175-39a6-9da5-b1e1fa406bc4,2.2617333185628302e-21,1.3078049801213644e-23,3.4072166217397195e-25,0.0,1.9084697474527982e-22,7.692970471302144e-24,7.692970471302144e-24,7.692970471302144e-24
"Electricity - SOLAR - Electric Reliability Council of Texas, Inc.",1.0,MJ,9cddffa0-e76d-3796-9fa7-5da2786ded16,0.008674554711649893,2.5378638951241617e-05,2.0040578238210473e-06,1.805638568322397e-10,0.00042299907104984436,0.007959848682445977,1.8703666112173433e-05,2.540043013762494e-08
Electricity - OTHF - Duke Energy Progress East,1.0,MJ,1135257b-dfea-32af-9de0-9b2e06dc5eb8,2.8006497507421728e-22,1.6194233252590793e-24,4.2190740632779195e-26,0.0,2.3632120014480723e-23,9.526019560347526e-25,9.526019560347526e-25,9.526019560347526e-25
Electricity - SOLARTHERMAL - Nevada Power Company,1.0,MJ,b406023d-5c38-3b2b-a486-4931d65dbce0,0.03603885425512059,0.00035740377135541466,5.801936970628062e-05,2.470303514750043e-12,0.5187698156272563,0.03574111643610168,1.0505688075270824e-05,1.2158268721217811e-08
"Electricity - OTHF - Electric Reliability Council of Texas, Inc.",1.0,MJ,1aa05ad9-41db-32ff-b5df-463e9b035484,1.0116569723088842e-21,5.849717186820079e-24,1.5240233776721254e-25,0.0,8.536447292902025e-23,3.441010109894164e-24,3.441010109894164e-24,3.441010109894164e-24
Electricity - SOLAR - PacifiCorp West,1.0,MJ,cc4b7254-7088-3339-95ef-41f5405fcd1f,0.010446277465183456,3.0165748202919647e-05,2.458649099277057e-06,2.1108909843044724e-10,0.0005066535980733059,0.009584764178891855,2.2186373342170273e-05,2.967959185182162e-08
Electricity - SOLAR - New York Independent System Operator,1.0,MJ,db15fc47-2074-34a4-9956-ea927722ee3b,0.012339010389728072,3.571815386793579e-05,2.8996193705393515e-06,2.5313523523898875e-10,0.000600257381452457,0.011320368988892654,2.6279446118437006e-05,3.539804143497134e-08
"Electricity - WIND - Puget Sound Energy, Inc.",1.0,MJ,97a1c572-6f92-3d79-a4ec-73170d62580d,0.022848882312546386,6.442959757281396e-05,4.268209445936372e-05,1.35788966770775e-11,0.0006954290922920862,0.02135840199527392,5.004885507216882e-05,8.005440727931428e-08
Electricity - WIND - Southwest Power Pool,1.0,MJ,166c74a3-1c8d-3772-a92f-be2a45360720,0.007072863736700129,1.9539328227353104e-05,1.3575694713510685e-05,3.0966435793737216e-12,0.00021276109922151632,0.006621908322745523,1.5300522319998114e-05,2.5079117275022936e-08
Electricity - SOLAR - Western Area Power Administration - Rocky Mountain Region,1.0,MJ,6f21f09e-1be2-30d2-8b7f-609883f1087d,0.0045465636189259626,1.488647083771725e-05,8.122271843156708e-07,1.1418564094500308e-10,0.00023625773228763287,0.004190950589741997,1.1035288614616842e-05,1.8588655986571604e-08
Electricity - SOLAR - Public Service Company of Colorado,1.0,MJ,581c92a4-16a3-3cb5-a67b-f8cbb1a59f43,0.007607019300194589,2.1995986452768895e-05,1.793966642507263e-06,1.5431155203043252e-10,0.000368183682331328,0.0069778554084384044,1.619425857112595e-05,2.1394152221014972e-08
Electricity - SOLAR - Balancing Authority of Northern California,1.0,MJ,303583a7-f5e4-3c69-a671-ecec9faa03ef,0.003977928746900199,1.2041788107714553e-05,8.539258991608231e-07,8.703789334031456e-11,0.00019769383178061648,0.0036562427230626103,8.881625505070757e-06,1.3077156673528095e-08
Electricity - SOLAR - California Independent System Operator,1.0,MJ,27219da0-7a4d-3b48-9532-9cfe3cf64cd1,0.003912778635123662,1.2187179829371719e-05,7.947042232880576e-07,9.043792594123756e-11,0.0001973257521929956,0.0035989363559329303,9.010748364743368e-06,1.3843998474219359e-08
Electricity - SOLAR - Southwestern Power Administration,1.0,MJ,58133a0f-d6c1-3d1a-963e-c5255bede732,0.0045236297908857566,1.589169264246396e-05,6.520443003001479e-07,1.2897622585650904e-10,0.0002458506508826095,0.004181064760694981,1.1838666056669292e-05,2.2177314558262943e-08
Electricity - OIL - Florida Power & Light Co.,1.0,MJ,bb66a596-83c4-3f0c-bdd3-4929c0ebe540,0.6295938613199913,0.0030695574925362575,0.0010418349082161069,7.552428098793567e-08,0.06759568857244956,0.5765715530891447,0.0014604789521510868,1.1693234940492745e-05
Electricity - SOLAR - PacifiCorp East,1.0,MJ,72cf115f-679a-3927-bd35-48d620da4547,0.0074410526141588836,2.1522639370807415e-05,1.7547375044118297e-06,1.5087346118535292e-10,0.0003599311086937735,0.006825459920597038,1.584753978091995e-05,2.088765730470554e-08
Electricity - OIL - Western Area Power Administration - Rocky Mountain Region,1.0,MJ,7988a028-371b-38e2-9238-795ca780827d,0.6466884935995013,0.00288142441444826,0.0009616388797986419,7.189348113620523e-08,0.0604976061894841,0.5910325095488465,0.0015666558334865883,1.1683882880551294e-05
Electricity - WIND - Western Area Power Administration - Upper Great Plains West,1.0,MJ,620eb46e-779c-3e2c-8735-fd596a3489a9,0.007534878374404498,2.1354853351527187e-05,1.1227491590787455e-05,4.676874594005872e-12,0.00023124577223113246,0.007034837286707301,1.6637028610302458e-05,2.1200934214926217e-08
Electricity - SOLAR - Los Angeles Department of Water and Power,1.0,MJ,8787fa04-1f52-3de5-8418-b26b64e09fb9,0.006573970843121645,1.902854064305058e-05,1.5482737506296918e-06,1.3338076326586142e-10,0.00031802618319265257,0.006030256062264775,1.4011732018316368e-05,1.8483693972077222e-08
Electricity - WIND - Tennessee Valley Authority,1.0,MJ,7f87c929-212a-3cbe-bf37-bfa2a93bdc16,0.013771119892636068,3.905590086301229e-05,2.2827730217490868e-05,9.165784024722078e-12,0.0004221660046491517,0.012853836545579674,3.035540108426571e-05,4.215887199277058e-08
Electricity - WIND - Idaho Power Company,1.0,MJ,93519fed-0562-3171-ac3b-7ddd09c809a3,0.008730543500482236,2.441425480740443e-05,1.5015648397323478e-05,4.849784393013319e-12,0.0002654822282159185,0.008158191497438183,1.9114642344168853e-05,2.7339748243437247e-08
Electricity - OIL - Southwest Power Pool,1.0,MJ,5064f49a-38b4-3cf7-9506-a81fadd508e5,0.7914844083326039,0.004216932905947585,0.0013089370480153352,9.227455578481156e-08,0.10385405514560422,0.7175093893578959,0.0021101095750626587,1.4512018438283802e-05
"Electricity - OIL - Puget Sound Energy, Inc.",1.0,MJ,3e7a9398-55c0-3350-bd3a-27c3018ea97c,0.38615630033901116,0.0036614435322537896,0.0003362946837805223,1.1101819797327803e-08,0.11258252395048467,0.358747924332843,0.0008905588582052177,4.2347473536747655e-06
Electricity - OIL - PacifiCorp East,1.0,MJ,85490328-84e8-3100-aa28-8f6310e0836d,1.6807910616808381,0.006956106041929393,0.00429114076843781,3.2704505905132223e-07,0.17121873209562863,1.4797375109212285,0.005381570747835375,4.250440426891061e-05
Electricity - OIL - New York Independent System Operator,1.0,MJ,f9e6723a-fe29-3ebf-bb64-94c4038410b8,0.41070195980147667,0.0018210562091152717,0.0002612884193319987,1.6827657619453723e-08,0.029656073627673064,0.3901964019044795,0.0006167246965777507,4.643494212795653e-06
Electricity - WIND - New York Independent System Operator,1.0,MJ,3e0a2765-24be-300a-b616-cbbef83c2ff7,0.010071350680542173,2.803193383561115e-05,1.8948698149109086e-05,4.7965072359399375e-12,0.00030447668652642455,0.00942229056254442,2.1952536829335206e-05,3.485588419402441e-08
Electricity - OTHF - Western Area Power Administration - Rocky Mountain Region,1.0,MJ,a30d627d-eabf-3bb1-b0d1-9cafa50ea534,3.0593641517444624e-21,1.7690200877433965e-23,4.608817628597355e-25,0.0,2.5815174061971093e-22,1.0406000516137627e-23,1.0406000516137627e-23,1.0406000516137627e-23
Electricity - SOLAR - Arizona Public Service Company,1.0,MJ,e568af3b-1916-309c-98ce-b3205df5cb32,0.0030579478311831896,8.903488725764686e-06,7.115264386565206e-07,6.238945040112572e-11,0.00014826974889298547,0.002805895545952487,6.556284667129617e-06,8.764331557230289e-09
Electricity - WIND - Los Angeles Department of Water and Power,1.0,MJ,ac1c0ea8-6d4b-3a7e-b099-fbb201b51985,0.009272801900611178,2.6018473451390035e-05,1.7358586108226398e-05,4.6311996183088695e-12,0.00028207961725108403,0.008671217155921266,2.0337842206161445e-05,3.221823629406355e-08
Electricity - SOLAR - Southwest Power Pool,1.0,MJ,74a81b78-f973-3640-8b98-33ecf830b528,0.011461594490388088,3.314834509962862e-05,2.700076445951406e-06,2.3177938183742348e-10,0.0005543691787119692,0.010514259094475523,2.4400682682804025e-05,3.222392059346751e-08
Electricity - SOLAR - Idaho Power Company,1.0,MJ,f72228fa-ce0a-325f-abdf-c8a6eb95964c,0.05365916835904264,0.0001551024158233704,1.267222628834254e-05,1.0930176794704177e-09,0.002599901240893994,0.04921764008771729,0.00011421436270034002,1.5106733164086713e-07
Electricity - SOLAR - ISO-NE,1.0,MJ,61e61a66-c44f-3199-adbd-2e8eb658cd7c,0.012493314108939084,3.6143137302269105e-05,2.973519311005182e-06,2.5695057431713666e-10,0.000609655930869526,0.01146106397184501,2.655729952847454e-05,3.590756333447069e-08
Electricity - SOLAR - Nevada Power Company,1.0,MJ,6ce5fe5e-489b-39b5-9250-79f7a6115798,0.006789023591085211,2.1499979146252107e-05,1.3255988331651866e-06,1.6131590810464146e-10,0.00034540344598872613,0.006248408329138821,1.591688366947377e-05,2.51520160892344e-08
"Electricity - WIND - PJM Interconnection, LLC",1.0,MJ,e507a064-1d4b-3b65-a20b-f9ecdae10def,0.008649365371040729,2.407222772377156e-05,1.630485804688173e-05,4.0844309216245465e-12,0.0002613023443027065,0.008092742441089677,1.8840811816362448e-05,3.014858611721708e-08
