zip_code,reeds_ba,cambium_gea
2837,p133,ISONE
2838,p133,ISONE
2839,p133,ISONE
2840,p133,ISONE
2841,p133,ISONE
2842,p133,ISONE
2852,p133,ISONE
2857,p133,ISONE
2858,p133,ISONE
2859,p133,ISONE
2860,p133,ISONE
2861,p133,ISONE
2862,p133,ISONE
2863,p133,ISONE
2864,p133,ISONE
2865,p133,ISONE
2871,p133,ISONE
2872,p133,ISONE
2873,p133,ISONE
2874,p133,ISONE
2875,p133,ISONE
2876,p133,ISONE
2877,p133,ISONE
2878,p133,ISONE
2879,p133,ISONE
2880,p133,ISONE
2881,p133,ISONE
2882,p133,ISONE
2883,p133,ISONE
2885,p133,ISONE
2886,p133,ISONE
2887,p133,ISONE
2888,p133,ISONE
2889,p133,ISONE
2891,p133,ISONE
2892,p133,ISONE
2893,p133,ISONE
2894,p133,ISONE
2895,p133,ISONE
2896,p133,ISONE
2898,p133,ISONE
2901,p133,ISONE
2902,p133,ISONE
2903,p133,ISONE
2904,p133,ISONE
2905,p133,ISONE
2906,p133,ISONE
2907,p133,ISONE
2908,p133,ISONE
2909,p133,ISONE
2910,p133,ISONE
2911,p133,ISONE
2912,p133,ISONE
2914,p133,ISONE
2915,p133,ISONE
2916,p133,ISONE
2917,p133,ISONE
2918,p133,ISONE
2919,p133,ISONE
2920,p133,ISONE
2921,p133,ISONE
2940,p133,ISONE
3031,p130,ISONE
3032,p130,ISONE
3033,p130,ISONE
3034,p130,ISONE
3036,p130,ISONE
3037,p130,ISONE
3038,p130,ISONE
3040,p130,ISONE
3041,p130,ISONE
3042,p130,ISONE
3043,p130,ISONE
3044,p130,ISONE
3045,p130,ISONE
3046,p130,ISONE
3047,p130,ISONE
3048,p130,ISONE
3049,p130,ISONE
3051,p130,ISONE
3052,p130,ISONE
3053,p130,ISONE
3054,p130,ISONE
3055,p130,ISONE
3057,p130,ISONE
3060,p130,ISONE
3061,p130,ISONE
3062,p130,ISONE
3063,p130,ISONE
3064,p130,ISONE
3070,p130,ISONE
