Process,Material,LCA Stage,Qty,Unit,GWP-fossil,AP,EP,ODP,POCP,NREF,CO2-fossil,CH4-fossil,N2O,Bio-based,% stored bioC emitted as CO2,% stored bioC emitted as CH4,Biogenic C temporal emission profile,Mineral C potential,EOL particle diameter max.,EOL exposure,Mineral C temporal emission profile
Incinerate,Paper (packaging),C3,1,kg,0.042374354,0.000272512,0.000313708,7.95192E-10,0.008485786,0.311402962,0.023974915,7.3772E-05,6.15366E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
Incinerate,Particle board (3.5% melamine-formaldehyde resin),C3,1,kg,0.488618242,0.000357159,0.000382562,9.59215E-10,0.011875215,0.374557454,0.457832845,8.44734E-05,0.000107165,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Particle board (3.5% melamine-formaldehyde resin),C4,1,kg,0.082722687,4.22849E-05,0.008306791,6.18868E-10,0.00108509,0.271750369,0.013439055,0.002467982,5.77533E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Incinerate,Particle board (unspecified binder),C3,1,kg,0.394944568,0.000342602,0.000371895,9.09086E-10,0.011429221,0.358580444,0.365144569,8.07671E-05,0.000103843,TRUE,100%,0%,Pulse,FALSE,---,---,---
Landfill,Particle board (unspecified binder),C4,1,kg,0.081408436,4.16948E-05,0.0080233,6.14602E-10,0.001077277,0.270047244,0.012691342,0.0024479,5.6229E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Landfill,"Wood (particleboard, oriented strand board)",C4,1,kg,0.081408436,4.16948E-05,0.0080233,6.14602E-10,0.001077277,0.270047244,0.012691342,0.0024479,5.6229E-07,TRUE,14%,1%,Exponential decay,FALSE,---,---,---
Recycle,Gypsum board,C3,1,kg,0.004589427,1.37489E-05,1.25399E-06,1.71691E-10,0.000409554,0.05629902,0.004086312,1.59317E-05,1.87328E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Polyethylene,C3,1,kg,3.030404374,0.00035099,0.000544247,1.26306E-09,0.01157587,0.38005703,3.022710956,8.64724E-05,1.97875E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Polyethylene,C4,1,kg,0.122750491,4.0498E-05,0.014555996,6.02278E-10,0.001054387,0.265217042,0.031844539,0.003240896,5.07603E-07,FALSE,---,---,---,FALSE,---,---,---
Recycle,Polyethylene,C3,1,kg ,1.037126434,0.001828961,0.00030663,9.89121E-09,0.051286635,13.0329119,0.835313,0.006925236,2.91103E-05,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Polypropylene,C3,1,kg,2.559362591,0.000297404,0.000459702,1.07634E-09,0.009793752,0.325351953,2.552823738,7.44459E-05,1.67155E-05,FALSE,---,---,---,FALSE,---,---,---
Recycle,Polypropylene,C3,1,kg ,0.446552063,0.000885856,0.000130918,5.91366E-09,0.024018167,6.464747299,0.419537339,0.000863313,1.0332E-05,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Polystyrene,C3,1,kg,3.20147415,0.000350673,0.000579998,1.01698E-09,0.011496375,0.374849573,3.191272076,8.5128E-05,2.9402E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Polystyrene,C4,1,kg,0.128669955,4.08676E-05,0.015580495,6.04025E-10,0.001058259,0.265305469,0.03299061,0.003410992,5.4758E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Polystyrene (building insulation),C3,1,kg,3.184839711,0.000352034,0.000576936,1.06759E-09,0.011491494,0.382921369,3.174580157,8.75113E-05,2.93601E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Polystyrene (building insulation),C4,1,kg,0.128669955,4.08676E-05,0.015580495,6.04025E-10,0.001058259,0.265305469,0.03299061,0.003410992,5.4758E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,"Polystyrene (expanded, EPS)",C4,1,kg,0.128669955,4.08676E-05,0.015580495,6.04025E-10,0.001058259,0.265305469,0.03299061,0.003410992,5.4758E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Polystyrene (building waste),C3,1,kg,3.20147415,0.000350673,0.000579998,1.01698E-09,0.011496375,0.374849573,3.191272076,8.5128E-05,2.9402E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Polystyrene (building waste),C4,1,kg,0.128669955,4.08676E-05,0.015580495,6.04025E-10,0.001058259,0.265305469,0.03299061,0.003410992,5.4758E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,"Polystyrene (expanded, EPS)",C3,1,kg,3.184839709,0.000352034,0.000576936,1.06759E-09,0.011491494,0.382921366,3.174580155,8.75113E-05,2.93601E-05,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Polyurethane,C3,1,kg,2.728865113,0.002127373,0.001239029,5.2662E-09,0.07167802,2.085687774,2.474696825,0.000453694,0.000910864,FALSE,---,---,---,FALSE,---,---,---
Landfill,Polyurethane,C4,1,kg,0.100075004,6.0969E-05,0.031712237,7.4896E-10,0.001409703,0.273172152,0.027715931,0.002542829,4.23497E-06,FALSE,---,---,---,FALSE,---,---,---
Landfill,Polyurethane (foam),C4,1,kg,0.100075004,6.0969E-05,0.031712237,7.4896E-10,0.001409703,0.273172152,0.027715931,0.002542829,4.23497E-06,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Polyurethane (foam),C3,1,kg,2.728865112,0.002127373,0.001239029,5.2662E-09,0.07167802,2.085687765,2.474696824,0.000453694,0.000910864,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Polyvinylchloride,C3,1,kg,2.049162857,0.001011259,0.000351021,1.11652E-08,0.015176501,2.297060868,2.020343019,0.000651498,3.81562E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Polyvinylchloride,C4,1,kg,0.071639532,0.000193014,0.007919332,6.00225E-10,0.001052165,0.265098075,0.021916388,0.001770234,4.92105E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Sealing sheet (polyvinylchloride),C4,1,kg,0.071639532,0.000193014,0.007919332,6.00225E-10,0.001052165,0.265098075,0.021916388,0.001770234,4.92105E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Sealing sheet,C3,1,kg,2.539182337,0.000490351,0.000811579,1.54132E-09,0.011379931,0.479983746,2.526631672,0.000116591,3.47805E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Sealing sheet,C4,1,kg,0.084616199,6.31963E-05,0.010518529,6.46823E-10,0.001138365,0.282750353,0.025004601,0.002121252,7.09774E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Sealing sheet (EPDM),C3,1,kg,3.158439876,0.000385261,0.000548957,1.58497E-09,0.010710831,0.445694515,3.155001275,0.000108012,1.36028E-06,FALSE,---,---,---,FALSE,---,---,---
Landfill,Sealing sheet (EPDM),C4,1,kg,0.084616199,6.31963E-05,0.010518529,6.46823E-10,0.001138365,0.282750353,0.025004601,0.002121252,7.09774E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Sealing sheet (polyethylene),C3,1,kg,2.574734927,0.000307796,0.001821158,1.27483E-09,0.010064806,0.377182312,2.567715393,8.95966E-05,1.68913E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Sealing sheet (polyethylene),C4,1,kg,0.122750491,4.0498E-05,0.014555996,6.02278E-10,0.001054387,0.265217042,0.031844539,0.003240896,5.07603E-07,FALSE,---,---,---,FALSE,---,---,---
Recycle,Sealing sheet (polyethylene),C3,1,kg ,1.037126434,0.001828961,0.00030663,9.89121E-09,0.051286635,13.0329119,0.835313,0.006925236,2.91103E-05,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Sealing sheet (polyvinylchloride),C3,1,kg,1.984740729,0.000629886,0.001449461,6.48642E-09,0.011028107,1.352709978,1.968506153,0.000379172,2.02062E-05,FALSE,---,---,---,FALSE,---,---,---
Recycle,Steel,C3,1,kg,0.06507275,0.000194796,1.57858E-05,1.45667E-09,0.00598358,0.80846702,0.058014478,0.000228475,2.41464E-06,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Steel,C3,1,kg,0.011864761,3.4404E-05,4.25396E-06,4.54228E-10,0.000866273,0.190843033,0.010136421,5.70887E-05,3.57194E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Steel,C4,1,kg,0.024028358,0.000272654,2.71252E-05,5.11671E-11,0.009590295,0.28876438,0.023678055,7.62682E-06,5.14942E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Tin,C4,1,kg,0.014025196,5.23491E-05,5.22718E-06,6.57495E-10,0.001153162,0.279115928,0.011554221,8.29464E-05,4.50631E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Tin,C3,1,kg,0.011677999,3.31381E-05,4.07609E-06,4.28973E-10,0.000831075,0.180315683,0.010045455,5.39371E-05,3.36507E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Unspecified metals,C4,1,kg,0.024028358,0.000272654,2.71252E-05,5.11671E-11,0.009590295,0.28876438,0.023678055,7.62682E-06,5.14942E-07,FALSE,---,---,---,FALSE,---,---,---
Landfill,Polypropylene,C4,1,kg,0.122750491,4.0498E-05,0.014555996,6.02278E-10,0.001054387,0.265217043,0.031844539,0.003240896,5.07603E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Unspecified Plastic,C3,1,kg,2.381773092,0.000474497,0.000491513,1.57305E-09,0.014803521,0.527821269,2.353801424,0.000123005,9.23878E-05,FALSE,---,---,---,FALSE,---,---,---
Landfill,Unspecified Plastic,C4,1,kg,0.097577334,4.81666E-05,0.012970155,6.13476E-10,0.001082608,0.265824072,0.027034769,0.002510757,8.08245E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Vinyl composition tile,C3,1,kg,0.634767507,0.001939029,0,0,0.007914698,0,0.629979507,0.000171,0,FALSE,---,---,---,FALSE,---,---,---
Landfill,Vinyl composition tile,C4,1,kg,0.066998564,0.000190784,3.52237E-05,4.06083E-10,0.006007571,0.714589814,0.065360319,5.37834E-05,4.59699E-07,FALSE,---,---,---,FALSE,---,---,---
Incinerate,Wood (chrome preserved),C3,1,kg,0.017023173,0.00014364,0.000267933,4.05312E-10,0.004684293,0.165408805,0.011972311,3.9077E-05,1.4883E-05,TRUE,100%,0%,Pulse,FALSE,---,---,---
