Process Name,UUID,Qty,Unit
"market for diesel, burned in agricultural machinery | diesel, burned in agricultural machinery | EN15804, U",721f5959-5a92-4835-bdbb-1a72cf9c9a32,1,MJ
"heavy fuel oil production, petroleum refinery operation | heavy fuel oil | EN15804, U",8e231403-de0a-4f9e-8857-d629d6fc8353,1,kg
"market for heavy fuel oil | heavy fuel oil | EN15804, U",b7439cdc-4979-491f-bb34-9ec25de84675,1,kg
"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations | heavy fuel oil | EN15804, U",1dd75249-c465-4c1a-8e05-5197576d6b5d,1,kg
"market for heavy fuel oil | heavy fuel oil | EN15804, U",cd86056e-7df3-49f9-b49d-5e4523a86fca,1,kg
"market for heavy fuel oil | heavy fuel oil | EN15804, U",7570c99e-4647-4bcf-9190-c3e1834c2b7a,1,kg
"market for heavy fuel oil | heavy fuel oil | EN15804, U",6906069a-3a39-404d-a681-05afb9912d9a,1,kg
"heavy fuel oil production, petroleum refinery operation | heavy fuel oil | EN15804, U",efac5f06-78ee-44fb-a413-a018139f91c3,1,kg
"petroleum refinery operation | heavy fuel oil | EN15804, U",73bcad56-d0f1-403f-9ab5-39f88f06937e,1,kg
"market for heavy fuel oil | heavy fuel oil | EN15804, U",93914692-490e-486c-aa8c-c2e00e271bbb,1,kg
"heavy fuel oil, import from RoW | heavy fuel oil | EN15804, U",daa79d13-8ac0-4bd1-a4cc-3ce27cf447ba,1,kg
"heavy fuel oil production, petroleum refinery operation | heavy fuel oil | EN15804, U",69658600-9611-46e7-9446-ba2f3ca618d0,1,kg
"heavy fuel oil production, petroleum refinery operation | heavy fuel oil | EN15804, U",b49a15a1-09c9-48ad-8a93-f66da3eea953,1,kg
"heavy fuel oil, import from RoW | heavy fuel oil | EN15804, U",7a701447-1e15-4b96-a2a8-abc95baf0b55,1,kg
"market group for heavy fuel oil | heavy fuel oil | EN15804, U",3bb2ca88-aec0-418c-8abe-0639d24e11c0,1,kg
"heavy fuel oil production, petroleum refinery operation | heavy fuel oil | EN15804, U",72ef58ab-66e8-4192-b89d-7820139e3b54,1,kg
"heavy fuel oil, import from RoW | heavy fuel oil | EN15804, U",870fcf20-fee2-4836-9200-1e29d9ac453f,1,kg
"market for heavy fuel oil | heavy fuel oil | EN15804, U",7ac8888d-9427-42f6-b756-76fb70119416,1,kg
"heavy fuel oil production, petroleum refinery operation | heavy fuel oil | EN15804, U",a4d30ac6-5f76-40a5-b6fb-b22b788ec4ef,1,kg
"market for heavy fuel oil | heavy fuel oil | EN15804, U",a0105dd7-d038-4907-afbd-ab5e63df21b4,1,kg
"heavy fuel oil production, petroleum refinery operation | heavy fuel oil | EN15804, U",d84a98f9-03c9-4689-b0a0-b4320b8e0ef4,1,kg
"market for heavy fuel oil | heavy fuel oil | EN15804, U",56d624e9-e232-4ee1-8c06-2aff979e33a5,1,kg
"market for kerosene | kerosene | EN15804, U",809a6151-eff4-44b6-bd8a-045d9043f9ed,1,kg
"kerosene, import from Europe | kerosene | EN15804, U",b2a31c26-1d4d-4d6f-9cfe-ccdf477105fa,1,kg
"kerosene production, petroleum refinery operation | kerosene | EN15804, U",1a4e1c63-ce73-4aa4-90dc-aaa395f10982,1,kg
"kerosene production, petroleum refinery operation | kerosene | EN15804, U",66ceaeaf-79d2-4ea8-81e7-51e20509203a,1,kg
"kerosene production, petroleum refinery operation | kerosene | EN15804, U",7cc7435a-ad0a-4741-b5a0-0487a4c90b76,1,kg
"kerosene, import from RoW | kerosene | EN15804, U",76cf5e89-dc6a-4129-a924-e240ec52480b,1,kg
"petroleum refinery operation | kerosene | EN15804, U",b4321640-f734-49ed-8ad7-a2ef3f14285c,1,kg
"kerosene production, petroleum refinery operation | kerosene | EN15804, U",f0102382-d8c9-4812-9652-afa821bfc485,1,kg
